LAMMPS data file via write_data, version 2 Aug 2023, timestep = 2200000, units = real

7008 atoms
11 atom types
8352 bonds
26 bond types
15696 angles
78 angle types
27000 dihedrals
192 dihedral types
3408 impropers
29 improper types

78.91931213462338 121.08068786537645 xlo xhi
78.91931213462338 121.08068786537645 ylo yhi
78.91931213462338 121.08068786537645 zlo zhi

Masses

1 15.9994
2 12.01115
3 12.01115
4 14.0067
5 12.01115
6 1.00797
7 12.01115
8 12.01115
9 32.064
10 1.00797
11 12.01115

Pair Coeffs # lj/cut/coul/long

1 0.228 2.85978
2 0.148 3.61705
3 0.148 3.61705
4 0.167 3.50123
5 0.039 3.87541
6 0.038 2.44997
7 0.148 3.61705
8 0.039 3.87541
9 0.164 3.3676
10 0 0
11 0.039 3.87541

Bond Coeffs # harmonic

1 273.2 1.425
2 384 1.37
3 280 1.34
4 280 1.39
5 480 1.34
6 320 1.38
7 363.416 1.08
8 336.8 1.475
9 340.618 1.105
10 283.092 1.51
11 283.092 1.51
12 283.092 1.51
13 480 1.39
14 400 1.363
15 320 1.7106
16 322.716 1.526
17 273.2 1.425
18 340.618 1.105
19 322.716 1.526
20 283.092 1.51
21 483.451 1.026
22 322.716 1.526
23 336.8 1.475
24 560 1.26
25 322.716 1.526
26 340.618 1.105

Angle Coeffs # harmonic

1 50 109.5
2 90 120
3 90 120
4 90 120
5 90 120
6 90 120
7 90 120
8 37 120
9 70 128.8
10 75.1 114
11 80 109.5
12 80 109.5
13 57 109.5
14 39.5 106.4
15 80 120
16 80 120
17 80 120
18 80 120
19 46 110.5
20 44.4 110
21 80 120
22 37 120
23 44.2 120
24 60 120
25 80 120
26 70 112.7
27 80 120
28 88.7595 111.039
29 89 114
30 44.4 110
31 70 109.5
32 60 109.5
33 46.6 110.5
34 60 109.5
35 46 110.5
36 57 109.5
37 70 109.5
38 44.4 110
39 46.6 110.5
40 44.4 110
41 44.2 120
42 37 120
43 80 120
44 44.2 120
45 44.4 110
46 46 110.5
47 46.6 110.5
48 44.4 110
49 70 109.5
50 126.506 92.567
51 80 120
52 44.2 120
53 80 120
54 46.6 110.5
55 46.6 110.5
56 27.5 120
57 46.6 110.5
58 46.6 110.5
59 44.4 110
60 50 109.5
61 70 128.8
62 75.1 114
63 90 120
64 50 120
65 46.6 110.5
66 46.6 110.5
67 46.6 110.5
68 60 109.5
69 80 109.5
70 80 109.5
71 80 109.5
72 46.6 110.5
73 46.6 110.5
74 44.4 110
75 44.4 110
76 46.6 110.5
77 44.4 110
78 39.5 106.4

Dihedral Coeffs # harmonic

1 0.13 1 3
2 0.13 1 3
3 0.75 -1 2
4 3 -1 2
5 3 -1 2
6 3 -1 2
7 3 -1 2
8 3 -1 2
9 3 -1 2
10 3 -1 2
11 3 -1 2
12 3 -1 2
13 1 -1 2
14 1 -1 2
15 1 -1 2
16 1 -1 2
17 3 -1 2
18 3 -1 2
19 3 -1 2
20 3 -1 2
21 3 -1 2
22 3 -1 2
23 3 -1 2
24 0 1 0
25 0 1 0
26 0.13 1 3
27 3 -1 2
28 3 -1 2
29 3 -1 2
30 3 -1 2
31 3 -1 2
32 3 -1 2
33 3 -1 2
34 3 -1 2
35 0 1 2
36 0 1 2
37 0 1 2
38 3 -1 2
39 3 -1 2
