# radius_center,counts
0.100000,0
0.300000,0
0.500000,0
0.700000,0
0.900000,0
1.100000,0
1.300000,0
1.500000,49
1.700000,195
1.900000,136
2.100000,339
2.300000,840
2.500000,898
2.700000,651
2.900000,289
3.100000,148
3.300000,43
3.500000,21
3.700000,17
3.900000,10
4.100000,4
4.300000,0
4.500000,0
4.700000,0
4.900000,0
5.100000,0
5.300000,0
5.500000,0
5.700000,0
5.900000,0
6.100000,0
6.300000,0
6.500000,0
6.700000,0
6.900000,0
7.100000,0
7.300000,0
7.500000,0
7.700000,0
7.900000,0
8.100000,0
8.300000,0
8.500000,0
8.700000,0
8.900000,0
9.100000,0
9.300000,0
9.500000,0
9.700000,0
9.900000,0
