# Time-averaged data for fix data_output
# TimeStep c_thermo_temp c_thermo_press v_natoms c_thermo_pe v_density v_vol
0 0 0 0 0 0 125000
500 0 -5.61619 138 -16.6988 0.0294051 125000
1000 0 -5.74614 116 -10.6235 0.0247173 125000
1500 0 -1.48735 119 -12.0606 0.0253566 125000
2000 0 -0.147752 102 -8.63525 0.0217342 125000
2500 0 1.62595 138 -13.5041 0.0294051 125000
3000 0 5.93425 118 -8.00191 0.0251435 125000
3500 0 -1.26029 99 -6.33729 0.021095 125000
4000 0 -5.79094 126 -12.7811 0.0268481 125000
4500 0 5.12151 126 -9.45573 0.0268481 125000
5000 0 -0.522955 117 -11.1082 0.0249304 125000
5500 0 -5.56253 133 -14.6519 0.0283397 125000
6000 0 1.6427 148 -14.664 0.0315359 125000
6500 0 -8.1133 113 -10.6819 0.0240781 125000
7000 0 1.97251 136 -13.846 0.0289789 125000
7500 0 -4.90986 126 -13.5957 0.0268481 125000
8000 0 6.3713 123 -9.03317 0.0262089 125000
8500 0 -0.233112 122 -12.2772 0.0259958 125000
9000 0 -3.52412 95 -8.03665 0.0202426 125000
9500 0 -1.27906 90 -6.36108 0.0191772 125000
10000 0 -0.669311 87 -6.59195 0.018538 125000
10500 0 -6.91903 117 -9.99429 0.0249304 125000
11000 0 -1.74484 125 -8.60582 0.026635 125000
11500 0 -1.48474 125 -12.5883 0.026635 125000
12000 0 -5.33207 109 -10.0127 0.0232258 125000
12500 0 2.22326 116 -10.0415 0.0247173 125000
13000 0 -2.85069 109 -9.17484 0.0232258 125000
13500 0 -9.20923 140 -16.2626 0.0298312 125000
14000 0 6.98154 110 -6.6365 0.0234388 125000
14500 0 -2.13434 127 -9.75841 0.0270612 125000
15000 0 -1.02812 125 -11.4127 0.026635 125000
15500 0 -3.27346 136 -13.9291 0.0289789 125000
16000 0 3.24343 132 -12.9582 0.0281266 125000
16500 0 -4.93212 136 -15.2865 0.0289789 125000
17000 0 -0.293053 119 -11.1246 0.0253566 125000
17500 0 -1.39269 117 -12.9211 0.0249304 125000
18000 0 -8.33275 123 -13.3104 0.0262089 125000
18500 0 -7.44074 129 -11.3979 0.0274874 125000
19000 0 4.62019 131 -12.0355 0.0279135 125000
19500 0 -0.756877 113 -9.76625 0.0240781 125000
20000 0 -7.25772 109 -11.0234 0.0232258 125000
20500 0 -3.86686 111 -10.0412 0.0236519 125000
21000 0 -0.7567 121 -10.8659 0.0257827 125000
21500 0 -5.14161 123 -11.2044 0.0262089 125000
22000 0 3.46766 130 -10.8794 0.0277004 125000
22500 0 -3.3123 126 -14.835 0.0268481 125000
23000 0 -0.415649 96 -6.49768 0.0204557 125000
23500 0 -8.82948 115 -12.116 0.0245042 125000
24000 0 -4.19642 132 -13.2903 0.0281266 125000
24500 0 -2.38116 103 -9.76986 0.0219473 125000
25000 0 -4.8419 113 -9.7866 0.0240781 125000
25500 0 4.37193 100 -7.48405 0.021308 125000
26000 0 -5.31266 108 -10.2746 0.0230127 125000
26500 0 -0.818513 113 -10.3533 0.0240781 125000
27000 0 -3.77082 136 -13.0388 0.0289789 125000
27500 0 2.15875 122 -11.4506 0.0259958 125000
28000 0 -1.92787 119 -8.11029 0.0253566 125000
28500 0 -3.45541 109 -12.7148 0.0232258 125000
29000 0 -0.413933 85 -3.83746 0.0181118 125000
29500 0 0.935847 108 -8.01733 0.0230127 125000
30000 0 2.03244 128 -12.4038 0.0272743 125000
30500 0 -6.35178 127 -12.5703 0.0270612 125000
31000 0 -5.3082 115 -10.3789 0.0245042 125000
31500 0 -5.70972 130 -12.7107 0.0277004 125000
32000 0 2.9276 133 -13.5617 0.0283397 125000
32500 0 9.01186 124 -9.13499 0.026422 125000
33000 0 -4.74561 128 -12.7827 0.0272743 125000
33500 0 -4.62946 119 -11.5828 0.0253566 125000
34000 0 -1.91914 116 -12.7388 0.0247173 125000
34500 0 2.98736 117 -7.46904 0.0249304 125000
35000 0 -2.12745 137 -13.7115 0.029192 125000
35500 0 4.8528 119 -9.59325 0.0253566 125000
36000 0 -0.218509 118 -10.149 0.0251435 125000
36500 0 -6.07697 137 -14.4829 0.029192 125000
37000 0 -4.38183 120 -12.6937 0.0255696 125000
37500 0 -6.50583 121 -13.0857 0.0257827 125000
38000 0 -5.31809 120 -12.1541 0.0255696 125000
38500 0 -2.70071 108 -9.31146 0.0230127 125000
39000 0 -5.68301 120 -11.0508 0.0255696 125000
39500 0 -3.33567 129 -13.7297 0.0274874 125000
40000 0 -0.644578 106 -11.3832 0.0225865 125000
40500 0 -4.22758 127 -12.4509 0.0270612 125000
41000 0 -1.26914 135 -13.3373 0.0287658 125000
41500 0 -4.82525 132 -12.5406 0.0281266 125000
42000 0 -2.53505 110 -10.7745 0.0234388 125000
42500 0 -0.747128 133 -14.5747 0.0283397 125000
43000 0 -1.57397 101 -8.53424 0.0215211 125000
43500 0 -3.70121 126 -13.3362 0.0268481 125000
44000 0 2.42336 127 -10.1316 0.0270612 125000
44500 0 1.19334 129 -12.8545 0.0274874 125000
45000 0 -1.08926 120 -13.3854 0.0255696 125000
45500 0 -2.01182 130 -13.9062 0.0277004 125000
46000 0 4.09674 115 -8.08037 0.0245042 125000
46500 0 -5.50606 119 -10.7591 0.0253566 125000
47000 0 -2.5706 121 -11.5301 0.0257827 125000
47500 0 -2.37975 146 -16.4674 0.0311097 125000
48000 0 -4.31356 130 -14.3131 0.0277004 125000
