mu_kcal_mol,pressure_atm
-10.0,3.63407276
-9.9,2.70580328
-9.8,3.6713234599999995
-9.700000000000001,9.24242626
-9.600000000000001,6.5189744
-9.500000000000002,9.4005354
-9.400000000000002,5.68811494
-9.300000000000002,8.5464611
-9.200000000000003,14.1779622
-9.100000000000003,14.252627
-9.000000000000004,24.360387
-8.900000000000004,24.5169934
-8.800000000000004,25.4957792
-8.700000000000005,38.1592972
-8.600000000000005,37.448029
-8.500000000000005,45.3641346
-8.400000000000006,41.4968108
-8.300000000000006,54.4146934
-8.200000000000006,80.04744900000001
-8.100000000000007,106.00488039999999
-8.000000000000007,118.936397
-7.9000000000000075,146.78097999999997
-7.800000000000008,183.24543800000004
-7.700000000000008,241.493016
-7.6000000000000085,412.71720400000004
-7.500000000000009,613.853984
-7.400000000000009,774.211868
-7.30000000000001,877.2840319999999
-7.20000000000001,1013.088488
-7.10000000000001,1112.7274340000001
-7.000000000000011,1205.7432000000001
-6.900000000000011,1310.6586000000002
-6.800000000000011,1371.5969599999999
-6.700000000000012,1463.03612
-6.600000000000012,1505.9640200000001
-6.500000000000012,1567.2127399999997
-6.400000000000013,1695.4097600000002
-6.300000000000013,1757.70586
-6.2000000000000135,1825.83198
-6.100000000000014,1908.77034
-6.000000000000014,1989.0161999999998
-5.900000000000015,2071.58284
-5.800000000000015,2133.83202
-5.700000000000015,2241.03328
-5.600000000000016,2276.87148
-5.500000000000016,2313.7980399999997
-5.400000000000016,2374.2973600000005
-5.300000000000017,2445.07914
-5.200000000000017,2551.49856
-5.100000000000017,2630.0917
-5.000000000000018,2700.9873399999997
