# Time-averaged data for fix avg_press
# TimeStep c_thermo_press
201000 4.36576
202000 4.76263
203000 4.25755
204000 4.80875
205000 4.30079
206000 4.76575
207000 4.28106
208000 4.81657
209000 4.13851
210000 4.74317
211000 4.29362
212000 4.82307
213000 4.19453
214000 4.76826
215000 4.25539
216000 4.77984
217000 4.28177
218000 4.83567
219000 4.3498
220000 4.77246
221000 4.3519
222000 4.77575
223000 4.23657
224000 4.81325
225000 4.19379
226000 4.77159
227000 4.38939
228000 4.73965
229000 4.49916
230000 4.65605
231000 4.31335
232000 4.83546
233000 4.24698
234000 4.80398
235000 4.15408
236000 4.75244
237000 4.28738
238000 4.84821
239000 4.3118
240000 4.84133
241000 4.31573
242000 4.66518
243000 4.16852
244000 4.76361
245000 4.34997
246000 4.76056
247000 4.26499
248000 4.84436
249000 4.24082
250000 4.83522
251000 4.4003
252000 4.71726
253000 4.12376
254000 4.77218
255000 4.34437
256000 4.73774
257000 4.21691
258000 4.76189
259000 4.20195
260000 4.56438
261000 4.10333
262000 4.75253
263000 4.10549
264000 4.75522
265000 4.24718
266000 4.84325
267000 4.27172
268000 4.84636
269000 4.35327
270000 4.73759
271000 4.33059
272000 4.82246
273000 4.25948
274000 4.94586
275000 3.80553
276000 4.81026
277000 4.36277
278000 4.75234
279000 4.01693
280000 4.77265
281000 4.34497
282000 4.75669
283000 4.45577
284000 4.76051
285000 4.38072
286000 4.70671
287000 4.19973
288000 4.79842
289000 4.41262
290000 4.70304
291000 4.1435
292000 4.75425
293000 4.35572
294000 4.74269
295000 4.33496
296000 4.79217
297000 4.44486
298000 4.67714
299000 4.22952
300000 4.75002
301000 4.32565
302000 4.81541
303000 4.37354
304000 4.71428
305000 4.20727
306000 4.78247
307000 4.35298
308000 4.74152
309000 4.03784
310000 4.77136
311000 4.07372
312000 4.76102
313000 4.24894
314000 4.70278
315000 4.21496
316000 4.82043
317000 4.20379
318000 4.80316
319000 3.70468
320000 4.82744
321000 4.28176
322000 4.85261
323000 4.22013
324000 4.83099
325000 4.26488
326000 4.84027
327000 4.32974
328000 4.78457
329000 4.29543
330000 4.76664
331000 4.18964
332000 4.76106
333000 4.38058
334000 4.74
335000 4.33281
336000 4.82993
337000 4.26086
338000 4.76715
339000 4.17417
340000 4.7333
341000 4.42677
342000 4.70257
343000 4.46909
344000 4.70384
345000 4.18874
346000 4.75065
347000 4.31528
348000 4.71291
349000 4.28207
350000 4.85
351000 4.06855
352000 4.76007
353000 4.21271
354000 4.80887
355000 4.37263
356000 4.72969
357000 4.23632
358000 4.78503
359000 4.36275
360000 4.73267
361000 4.26829
362000 4.845
363000 4.32827
364000 4.82711
365000 4.45553
366000 4.65439
367000 4.2825
368000 4.79506
369000 4.39061
370000 4.66334
371000 4.4153
372000 4.77825
373000 4.33438
374000 4.83158
375000 4.37838
376000 4.7673
377000 4.457
378000 4.7035
379000 4.45216
380000 4.68286
381000 3.98581
382000 4.77494
383000 4.35047
384000 4.73657
385000 4.30185
386000 4.82785
387000 4.34348
388000 4.68856
389000 4.37214
390000 4.75418
391000 4.41049
392000 4.73614
393000 4.39376
394000 4.71659
395000 4.45429
396000 4.77698
397000 4.36137
398000 4.69636
399000 4.29099
400000 4.8355
401000 4.35336
402000 4.76512
403000 4.4598
404000 4.67972
405000 4.40778
406000 4.75852
407000 3.97083
408000 4.76353
409000 4.41928
410000 4.68251
411000 4.2467
412000 4.90674
413000 4.33047
414000 4.72588
415000 4.29936
416000 4.85294
417000 4.38011
418000 4.73882
419000 4.37653
420000 4.76415
421000 4.46023
422000 4.63586
423000 4.42941
424000 4.67388
425000 4.37911
426000 4.73814
427000 4.19225
428000 4.65249
429000 4.5311
430000 4.8829
431000 4.17409
432000 4.81066
433000 4.14498
434000 4.88352
435000 4.18331
436000 4.81091
437000 4.19399
438000 4.75676
439000 4.18354
440000 4.6871
441000 4.09314
442000 4.73971
443000 4.38846
444000 4.70887
445000 4.33353
446000 4.74839
447000 4.14156
448000 4.75107
449000 4.17271
450000 4.80889
451000 4.14157
452000 4.75123
453000 4.11875
454000 4.75311
455000 4.12824
456000 4.73944
457000 4.13671
458000 4.75175
459000 4.05774
460000 4.75827
461000 4.26603
462000 4.81354
463000 4.30731
464000 4.84046
465000 4.27551
466000 4.84468
467000 4.40787
468000 4.70542
469000 4.3784
470000 4.71254
471000 4.35947
472000 4.77169
473000 4.33853
474000 4.82913
475000 4.39611
476000 4.77704
477000 4.25007
478000 4.80524
479000 4.12645
480000 4.74368
481000 4.19928
482000 4.79747
483000 4.31912
484000 4.80474
485000 4.23651
486000 4.81678
487000 4.29758
488000 4.83352
489000 4.30993
490000 4.83401
491000 4.12783
492000 4.74864
493000 4.08839
494000 4.72681
495000 4.25505
496000 4.83109
497000 4.38662
498000 4.60227
499000 4.40784
500000 4.72952
501000 4.24426
502000 4.80195
503000 4.34629
504000 4.75568
505000 4.33227
506000 4.83451
507000 4.28332
508000 4.8338
509000 4.02855
510000 4.7663
511000 4.29916
512000 4.84181
513000 4.45895
514000 4.78616
515000 4.36909
516000 4.67662
517000 4.25462
518000 4.94288
519000 4.20464
520000 4.77918
521000 3.98934
522000 4.77939
523000 4.5793
524000 4.65538
525000 4.41459
526000 4.72428
527000 4.34311
528000 4.75923
529000 4.30799
530000 4.85372
531000 4.28633
532000 4.61672
