# Time-averaged data for fix avg_press
# TimeStep c_thermo_press
201000 14.3225
202000 14.8895
203000 13.5676
204000 14.5805
205000 14.6662
206000 14.5624
207000 14.2135
208000 13.7833
209000 13.7887
210000 14.4971
211000 14.5772
212000 13.9765
213000 14.3648
214000 14.9581
215000 13.4564
216000 13.9363
217000 13.9043
218000 14.607
219000 14.3527
220000 14.1981
221000 13.49
222000 14.7296
223000 14.3421
224000 15.0423
225000 13.2785
226000 15.1055
227000 13.3681
228000 15.2193
229000 14.5362
230000 15.132
231000 13.203
232000 15.2526
233000 13.7987
234000 14.7665
235000 13.838
236000 14.6373
237000 13.4833
238000 15.1034
239000 13.3788
240000 15.6124
241000 13.3534
242000 12.9571
243000 14.113
244000 14.1699
245000 14.3517
246000 14.9949
247000 15.3149
248000 14.7681
249000 13.898
250000 14.3149
251000 13.9337
252000 14.5227
253000 14.4457
254000 13.8659
255000 13.2087
256000 15.299
257000 13.5467
258000 13.4011
259000 13.0948
260000 14.5432
261000 13.6174
262000 15.3263
263000 14.6222
264000 14.3187
265000 13.8762
266000 14.6426
267000 13.754
268000 13.8931
269000 13.2392
270000 15.0621
271000 14.5656
272000 14.7655
273000 13.5925
274000 15.2364
275000 14.2797
276000 14.2685
277000 13.3511
278000 14.8947
279000 14.4611
280000 14.4748
281000 14.7168
282000 14.4058
283000 13.5469
284000 14.5115
285000 13.4341
286000 15.2387
287000 13.9495
288000 14.2924
289000 14.0056
290000 15.1975
291000 15.6688
292000 14.1301
293000 14.7374
294000 14.314
295000 13.6511
296000 14.0307
297000 13.6903
298000 14.3298
299000 13.8517
300000 14.8447
301000 13.3593
302000 15.2083
303000 14.4256
304000 14.3388
305000 13.6767
306000 15.0107
307000 14.5854
308000 14.501
309000 14.1665
310000 14.7452
311000 13.4035
312000 15.1243
313000 13.5735
314000 14.5678
315000 13.6605
316000 14.2846
317000 13.5745
318000 15.157
319000 13.7726
320000 14.5155
321000 13.8503
322000 14.58
323000 14.0558
324000 14.8799
325000 13.715
326000 13.7033
327000 13.9576
328000 14.884
329000 13.8287
330000 14.6768
331000 13.5052
332000 15.1619
333000 13.7907
334000 15.0515
335000 13.9055
336000 14.5994
337000 13.5713
338000 14.9481
339000 13.2736
340000 15.1674
341000 12.9536
342000 14.5095
343000 13.7438
344000 15.3834
345000 13.5958
346000 14.8641
347000 14.8191
348000 13.0638
349000 13.2325
350000 14.8806
351000 13.3213
352000 14.6342
353000 12.6246
354000 15.09
355000 14.0241
356000 14.467
357000 13.9863
358000 14.65
359000 13.532
360000 15.3516
361000 14.5442
362000 15.5182
363000 14.5328
364000 13.1889
365000 13.9434
366000 14.6943
367000 13.5345
368000 14.5289
369000 13.4083
370000 15.3352
371000 13.6531
372000 14.295
373000 14.3664
374000 13.6935
375000 13.5222
376000 15.2809
377000 14.5958
378000 14.6598
379000 14.0264
380000 14.6446
381000 13.7341
382000 15.0553
383000 13.9544
384000 14.506
385000 14.4207
386000 13.8673
387000 14.3079
388000 14.877
389000 13.5271
390000 14.832
391000 13.4504
392000 16.3689
393000 13.9166
394000 14.8136
395000 13.8903
396000 14.7004
397000 13.66
398000 14.1308
399000 14.0238
400000 14.6827
401000 14.717
402000 15.0192
403000 14.2902
404000 15.4481
405000 14.2868
406000 14.0146
407000 13.1202
408000 15.2921
409000 13.0631
410000 14.5423
411000 13.4675
412000 14.7736
413000 14.7793
414000 14.6078
415000 13.7874
416000 14.5228
