Pressure (bar),Pressure (atm),phi_CH4,phi_CO2,f_CH4 (bar),f_CO2 (bar)
0.5,0.49,0.99956,0.99766,0.05,0.45
1.0,0.99,0.99911,0.99532,0.1,0.9
1.5,1.48,0.99868,0.99298,0.15,1.34
2.0,1.97,0.99825,0.99065,0.2,1.78
2.5,2.47,0.99782,0.98832,0.25,2.22
3.0,2.96,0.9974,0.98599,0.3,2.66
3.5,3.45,0.99698,0.98367,0.35,3.1
4.0,3.95,0.99656,0.98135,0.4,3.53
4.5,4.44,0.99615,0.97903,0.45,3.97
5.0,4.93,0.99575,0.97672,0.5,4.4
5.5,5.43,0.99534,0.9744,0.55,4.82
6.0,5.92,0.99495,0.9721,0.6,5.25
6.5,6.41,0.99456,0.96979,0.65,5.67
7.0,6.91,0.99417,0.96749,0.7,6.1
7.5,7.4,0.99379,0.96519,0.75,6.52
8.0,7.9,0.99341,0.9629,0.79,6.93
8.5,8.39,0.99304,0.9606,0.84,7.35
9.0,8.88,0.99267,0.95831,0.89,7.76
9.5,9.38,0.9923,0.95603,0.94,8.17
10.0,9.87,0.99195,0.95374,0.99,8.58
10.5,10.36,0.99159,0.95146,1.04,8.99
11.0,10.86,0.99124,0.94918,1.09,9.4
11.5,11.35,0.9909,0.94691,1.14,9.8
12.0,11.84,0.99056,0.94464,1.19,10.2
12.5,12.34,0.99023,0.94237,1.24,10.6
13.0,12.83,0.9899,0.9401,1.29,11.0
13.5,13.32,0.98958,0.93784,1.34,11.39
14.0,13.82,0.98926,0.93558,1.38,11.79
14.5,14.31,0.98895,0.93333,1.43,12.18
15.0,14.8,0.98864,0.93107,1.48,12.57
15.5,15.3,0.98834,0.92882,1.53,12.96
16.0,15.79,0.98805,0.92657,1.58,13.34
16.5,16.28,0.98776,0.92433,1.63,13.73
17.0,16.78,0.98747,0.92208,1.68,14.11
17.5,17.27,0.98719,0.91985,1.73,14.49
18.0,17.76,0.98692,0.91761,1.78,14.87
18.5,18.26,0.98665,0.91537,1.83,15.24
19.0,18.75,0.98639,0.91314,1.87,15.61
19.5,19.24,0.98613,0.91092,1.92,15.99
20.0,19.74,0.98589,0.90869,1.97,16.36
20.5,20.23,0.98564,0.90647,2.02,16.72
21.0,20.73,0.9854,0.90425,2.07,17.09
21.5,21.22,0.98517,0.90203,2.12,17.45
22.0,21.71,0.98495,0.89982,2.17,17.82
22.5,22.21,0.98473,0.8976,2.22,18.18
23.0,22.7,0.98452,0.8954,2.26,18.53
23.5,23.19,0.98431,0.89319,2.31,18.89
24.0,23.69,0.98411,0.89099,2.36,19.25
24.5,24.18,0.98392,0.88878,2.41,19.6
25.0,24.67,0.98374,0.88659,2.46,19.95
25.5,25.17,0.98356,0.88439,2.51,20.3
26.0,25.66,0.98338,0.8822,2.56,20.64
26.5,26.15,0.98322,0.88001,2.61,20.99
27.0,26.65,0.98306,0.87782,2.65,21.33
27.5,27.14,0.98291,0.87563,2.7,21.67
28.0,27.63,0.98277,0.87345,2.75,22.01
28.5,28.13,0.98263,0.87127,2.8,22.35
29.0,28.62,0.9825,0.86909,2.85,22.68
29.5,29.11,0.98238,0.86692,2.9,23.02
30.0,29.61,0.98226,0.86475,2.95,23.35
30.5,30.1,0.98216,0.86258,3.0,23.68
31.0,30.59,0.98206,0.86041,3.04,24.01
31.5,31.09,0.98197,0.85825,3.09,24.33
32.0,31.58,0.98189,0.85608,3.14,24.66
32.5,32.07,0.98181,0.85392,3.19,24.98
33.0,32.57,0.98174,0.85176,3.24,25.3
33.5,33.06,0.98168,0.84961,3.29,25.62
34.0,33.56,0.98163,0.84746,3.34,25.93
34.5,34.05,0.98159,0.84531,3.39,26.25
35.0,34.54,0.98156,0.84316,3.44,26.56
35.5,35.04,0.98154,0.84101,3.48,26.87
36.0,35.53,0.98152,0.83887,3.53,27.18
36.5,36.02,0.98151,0.83673,3.58,27.49
37.0,36.52,0.98152,0.83459,3.63,27.79
37.5,37.01,0.98153,0.83245,3.68,28.1
38.0,37.5,0.98155,0.83032,3.73,28.4
38.5,38.0,0.98158,0.82819,3.78,28.7
39.0,38.49,0.98162,0.82606,3.83,28.99
39.5,38.98,0.98167,0.82393,3.88,29.29
40.0,39.48,0.98173,0.82181,3.93,29.58
40.5,39.97,0.9818,0.81968,3.98,29.88
41.0,40.46,0.98188,0.81756,4.03,30.17
41.5,40.96,0.98197,0.81544,4.08,30.46
42.0,41.45,0.98207,0.81333,4.12,30.74
42.5,41.94,0.98218,0.81121,4.17,31.03
43.0,42.44,0.98231,0.8091,4.22,31.31
43.5,42.93,0.98244,0.80699,4.27,31.59
44.0,43.42,0.98259,0.80488,4.32,31.87
44.5,43.92,0.98274,0.80277,4.37,32.15
45.0,44.41,0.98291,0.80067,4.42,32.43
45.5,44.9,0.98309,0.79857,4.47,32.7
46.0,45.4,0.98328,0.79647,4.52,32.97
46.5,45.89,0.98348,0.79437,4.57,33.24
47.0,46.39,0.9837,0.79227,4.62,33.51
47.5,46.88,0.98393,0.79018,4.67,33.78
48.0,47.37,0.98417,0.78809,4.72,34.05
48.5,47.87,0.98442,0.78599,4.77,34.31
49.0,48.36,0.98469,0.78391,4.82,34.57
49.5,48.85,0.98497,0.78182,4.88,34.83
50.0,49.35,0.98526,0.77973,4.93,35.09
50.5,49.84,0.98557,0.77765,4.98,35.34
51.0,50.33,0.98589,0.77557,5.03,35.6
51.5,50.83,0.98623,0.77349,5.08,35.85
52.0,51.32,0.98658,0.77141,5.13,36.1
52.5,51.81,0.98695,0.76933,5.18,36.35
53.0,52.31,0.98733,0.76726,5.23,36.6
53.5,52.8,0.98772,0.76518,5.28,36.84
54.0,53.29,0.98814,0.76311,5.34,37.09
54.5,53.79,0.98856,0.76104,5.39,37.33
55.0,54.28,0.98901,0.75897,5.44,37.57
55.5,54.77,0.98947,0.75691,5.49,37.81
56.0,55.27,0.98995,0.75484,5.54,38.04
56.5,55.76,0.99044,0.75278,5.6,38.28
57.0,56.25,0.99095,0.75071,5.65,38.51
57.5,56.75,0.99149,0.74865,5.7,38.74
58.0,57.24,0.99203,0.74659,5.75,38.97
58.5,57.73,0.9926,0.74453,5.81,39.2
59.0,58.23,0.99319,0.74248,5.86,39.43
59.5,58.72,0.99379,0.74042,5.91,39.65
60.0,59.22,0.99442,0.73836,5.97,39.87
60.5,59.71,0.99506,0.73631,6.02,40.09
61.0,60.2,0.99573,0.73426,6.07,40.31
61.5,60.7,0.99642,0.73221,6.13,40.53
62.0,61.19,0.99713,0.73016,6.18,40.74
62.5,61.68,0.99786,0.72811,6.24,40.96
63.0,62.18,0.99861,0.72606,6.29,41.17
63.5,62.67,0.99938,0.72401,6.35,41.38
64.0,63.16,1.00018,0.72197,6.4,41.59
64.5,63.66,1.001,0.71992,6.46,41.79
65.0,64.15,1.00185,0.71788,6.51,42.0
65.5,64.64,1.00272,0.71584,6.57,42.2
66.0,65.14,1.00362,0.71379,6.62,42.4
66.5,65.63,1.00454,0.71175,6.68,42.6
67.0,66.12,1.00549,0.70971,6.74,42.8
67.5,66.62,1.00647,0.70767,6.79,42.99
