# Time-averaged data for fix avg_out
# TimeStep v_n_ch4 v_n_co2 v_selectivity v_strain c_TempCO2
155000 13.2 11.4667 0.878316 8.16196e-17 325.633
160000 14.4 12.5333 0.871051 -3.13847e-18 323.129
165000 13.2 13.7333 1.04327 1.39655e-16 312.132
170000 13 14.6667 1.1308 1.24351e-16 323
175000 12.2 14.6667 1.20332 6.54239e-17 318.909
180000 13 14.6667 1.12812 -7.28391e-17 319.638
185000 13.2 14.6667 1.112 4.33993e-17 318.818
190000 12.4 13.6 1.10698 4.82227e-17 326.036
195000 9.6 13.7333 1.4519 -1.02625e-16 314.282
200000 7.6 15.3333 2.0283 -5.52854e-17 318.425
205000 9 16.4 1.82202 6.27301e-17 324.801
210000 9.4 17.3333 1.84869 1.7985e-16 320.141
215000 8.6 17.3333 2.02199 -1.43023e-16 320.8
220000 7.8 18.2667 2.36821 6.9905e-18 312.024
225000 10 20 2.00788 -1.38188e-16 322.505
230000 11 20 1.8348 2.5359e-17 318.047
235000 9.6 20.4 2.15267 -4.75009e-17 322.408
240000 9.2 20.6667 2.26995 -1.41865e-17 311.328
245000 10.8 19.8667 1.84104 6.20709e-17 330.013
250000 10.6 20 1.89073 -7.01835e-17 320.831
255000 10.8 20 1.85437 -5.15742e-17 313.579
260000 9.6 20 2.09675 1.16258e-16 313.037
265000 8.8 20.6667 2.3701 1.71978e-16 341.225
270000 6.4 22.6667 3.82025 9.53239e-17 313.716
275000 3.6 22.9333 6.49812 4.80238e-17 313.793
280000 4.6 23.3333 5.13219 1.28091e-16 320.682
285000 5.2 23.3333 4.51023 -1.06704e-16 332.142
290000 5.8 23.6 4.09262 -6.98634e-17 317.675
295000 5.4 24.5333 4.66353 -8.3348e-17 314.256
300000 3.2 24.8 7.85304 -2.87351e-17 320.335
305000 4.2 25.7333 6.17851 -1.19963e-16 319.447
310000 3 26 9.52951 6.61445e-17 323.221
315000 2.8 26.6667 9.77408 6.21727e-17 326.334
320000 4.8 26.6667 5.59881 -1.85813e-16 317.627
325000 3.4 28 8.39743 3.23906e-17 319.155
330000 4.6 28 6.15863 1.12475e-16 314.968
335000 5.4 28 5.22568 1.16555e-16 315.352
340000 6 28.5333 4.75476 1.09359e-17 315.62
345000 5 28.6667 5.73219 1.49111e-16 321.688
350000 4.4 29.0667 6.68511 1.41607e-16 313.852
