# Time-averaged data for fix avg_qst
# TimeStep v_U_ch4 v_Nmol_ch4 v_UN_ch4 v_N2_ch4 v_U_co2 v_Nmol_co2 v_UN_co2 v_N2_co2
220000 -92.0199 38.2 -3516.27 1459.8 -70.5586 12 -846.703 144
230000 -95.6351 39.8 -3806.7 1584.2 -70.8689 12 -850.427 144
240000 -96.1583 40 -3846.33 1600 -69.8538 12 -838.245 144
250000 -97.6092 40.4 -3943.8 1632.4 -70.0126 12 -840.151 144
260000 -96.5486 40 -3861.94 1600 -69.9595 12 -839.514 144
270000 -96.1675 40.4 -3885.74 1632.4 -69.4135 12 -832.962 144
280000 -93.1339 38.8 -3614.14 1506 -74.6357 12.6667 -945.386 160.444
290000 -94.4638 38.8 -3665.4 1505.6 -78.0637 13.3333 -1040.85 177.778
300000 -94.6683 38.8 -3673.98 1506 -78.5678 13.3333 -1047.57 177.778
310000 -95.8934 40 -3835.73 1600 -78.515 13.3333 -1046.87 177.778
320000 -94.1731 39.2 -3692.08 1536.8 -78.3413 13.3333 -1044.55 177.778
330000 -93.45 39 -3644.55 1521 -78.8931 13.3333 -1051.91 177.778
340000 -93.8504 39.2 -3679.26 1536.8 -81.2374 13.6 -1105.49 185.067
350000 -93.3075 38.6 -3602.33 1490.2 -83.5647 14 -1169.91 196
360000 -92.1317 38.2 -3519.66 1459.4 -86.2999 14.4 -1243.46 207.467
370000 -91.711 38 -3485.02 1444 -91.5427 15.3333 -1405.61 235.467
380000 -94.9719 39 -3703.9 1521 -96.2555 16 -1540.09 256
390000 -95.345 39.4 -3757.35 1552.6 -97.2292 16.2667 -1582.03 264.711
400000 -96.8745 40.2 -3895.49 1617 -100.119 16.6667 -1668.65 277.778
410000 -97.2663 41 -3987.92 1681 -104.474 17.2 -1797.65 295.911
420000 -100.55 41.8 -4204.03 1747.8 -105.388 17.3333 -1826.73 300.444
430000 -102.662 43 -4414.46 1849 -105.509 17.3333 -1828.82 300.444
440000 -101.658 42.6 -4332.28 1815.4 -105.109 17.3333 -1821.88 300.444
450000 -98.859 41.4 -4093.34 1714.2 -106.333 17.4667 -1857.79 305.156
460000 -102.926 43.2 -4448.86 1867.2 -112.352 18.4 -2068.14 338.667
470000 -105.835 43.8 -4636.69 1919 -114.333 18.9333 -2165.38 358.578
480000 -107.791 45 -4850.6 2025 -117.28 19.3333 -2267.42 373.778
490000 -107.134 45 -4821.04 2025 -117.621 19.3333 -2274 373.778
500000 -105.457 44.4 -4682.4 1971.6 -117.768 19.3333 -2276.84 373.778
510000 -106.36 45.8 -4871.74 2098.2 -115.973 18.8 -2180.65 353.511
520000 -107.366 46 -4938.81 2116 -114.684 18.6667 -2140.78 348.444
530000 -108.668 45.6 -4955.19 2079.6 -116.32 18.6667 -2171.3 348.444
540000 -106.914 44 -4704.74 1936.4 -115.514 18.6667 -2156.26 348.444
550000 -103.505 42.4 -4389 1798 -118.474 19.0667 -2259.48 363.644
560000 -107.558 43.6 -4689.85 1901.2 -118.872 19.3333 -2298.19 373.778
570000 -109.554 44.8 -4912.69 2009.2 -119.06 19.3333 -2301.83 373.778
580000 -111.269 45.8 -5096.7 2097.8 -119.242 19.3333 -2305.35 373.778
590000 -109.46 45.2 -4947.56 2043.2 -119.241 19.3333 -2305.32 373.778
600000 -111.196 46.8 -5204.17 2190.4 -124.042 20 -2481.76 400.178
610000 -115.283 48.6 -5603.41 2362.2 -130.099 21.2 -2758.47 449.511
620000 -117.743 49.6 -5840.41 2460.4 -131.476 21.3333 -2804.83 455.111
630000 -116.717 49.6 -5789.23 2460.4 -134.449 21.7333 -2922.59 472.444
640000 -116.935 48.8 -5708.03 2382.4 -137.082 22 -3015.8 484
650000 -114.94 47.8 -5494.58 2285 -141.04 22.6667 -3196.91 513.778
660000 -112.635 46.6 -5252.22 2173.4 -140.186 22.6667 -3177.54 513.778
670000 -114.628 47.4 -5434.9 2247.4 -140.278 22.6667 -3179.64 513.778
680000 -115.826 48 -5559.67 2304 -135.45 22 -2979.91 484
690000 -113.446 47.4 -5378.99 2247.4 -133.921 22 -2946.27 484
700000 -108.87 45.4 -4943.06 2061.4 -136.383 22 -3000.42 484
710000 -111.952 47.4 -5305.9 2247 -135.271 22 -2975.96 484
720000 -112.328 47.2 -5302.85 2228.4 -133.769 22 -2942.93 484
730000 -111.782 46.6 -5209.32 2171.8 -134.757 22 -2964.65 484
740000 -112.339 46.8 -5258.25 2190.8 -134.793 22 -2965.45 484
750000 -107.048 43.8 -4689.12 1918.6 -136.528 22 -3003.62 484
760000 -108.861 44.8 -4878.87 2008.4 -137.624 22.4 -3083.67 501.867
770000 -115.76 48.2 -5582.46 2324.6 -142.515 23.2 -3306.84 538.311
780000 -117.439 49 -5754.49 2401 -148.313 24.2667 -3599.56 588.978
790000 -117.994 49.4 -5828.83 2440.6 -152.811 25.3333 -3871.22 641.778
800000 -117.088 48.8 -5713.93 2381.6 -157.623 26 -4098.21 676
810000 -118.587 48.4 -5740.09 2342.8 -157.015 26 -4082.38 676
820000 -114.488 47.4 -5427.3 2247 -158.018 26 -4108.47 676
830000 -115.395 46.8 -5401.86 2191.2 -162.125 26.6667 -4323.34 711.111
840000 -116.084 47.6 -5526.44 2266.4 -162.119 26.6667 -4323.18 711.111
850000 -115.649 48 -5551.13 2304 -162.804 26.6667 -4341.45 711.111
860000 -115.135 48.2 -5549.41 2323.8 -163.23 26.6667 -4352.81 711.111
870000 -118.973 48 -5710.73 2304 -163.659 26.6667 -4364.23 711.111
880000 -120.5 49 -5905.14 2401.4 -168.767 27.0667 -4568.53 732.711
890000 -117.432 48.4 -5684.63 2342.8 -170.307 27.4667 -4678.29 754.489
900000 -116.823 48.6 -5679.07 2362.6 -172.808 28 -4838.63 784
910000 -116.051 48.4 -5617.55 2342.8 -173.524 28 -4858.67 784
920000 -116.702 48 -5602.35 2304.4 -173.283 28 -4851.92 784
930000 -123.095 50.6 -6229.13 2560.6 -174.709 28 -4891.85 784
940000 -120.845 49.8 -6019.27 2480.6 -174.153 28 -4876.29 784
950000 -122.651 50.6 -6210.28 2562.2 -177.571 28.6667 -5090.38 821.778
960000 -124.336 51.2 -6366.41 2621.6 -179.054 28.6667 -5132.87 821.778
970000 -122.96 50.6 -6222.16 2560.6 -178.151 28.6667 -5107.01 821.778
980000 -121.588 49.4 -6006.94 2440.6 -176.688 28.6667 -5065.04 821.778
990000 -121.497 49 -5953.36 2401 -182.356 29.3333 -5349.1 860.444
1000000 -123.069 49.8 -6129.24 2480.2 -184.362 29.3333 -5407.95 860.444
1010000 -126.339 51.2 -6471.79 2622.8 -184.318 29.3333 -5406.67 860.444
1020000 -129.076 52.2 -6738.11 2725 -182.913 29.3333 -5365.44 860.444
1030000 -130.03 52.8 -6865.95 2788 -186.662 30 -5599.86 900
1040000 -130.901 53.4 -6990.41 2851.8 -185.035 30 -5551.06 900
1050000 -129.152 53.4 -6896.89 2851.8 -187.344 30 -5620.31 900
1060000 -128.986 52.8 -6810.74 2788 -184.974 30 -5549.22 900
1070000 -128.74 52.4 -6746.79 2746 -186.926 30 -5607.77 900
1080000 -127.417 52 -6627.87 2704.8 -188.678 30.6667 -5786.12 940.444
1090000 -127.262 52.2 -6643.41 2725 -193.94 31.2 -6051.44 973.511
1100000 -128.207 52.4 -6718.59 2746 -192.492 31.3333 -6031.43 981.778
1110000 -128.225 52.2 -6693.75 2725 -194.169 31.3333 -6083.98 981.778
1120000 -125.961 51.2 -6449.72 2621.6 -195.163 31.7333 -6195.55 1007.29
1130000 -128.411 52.4 -6729.28 2746 -202.468 32.6667 -6613.95 1067.11
1140000 -132.217 54.2 -7167.48 2938.2 -202.294 32.6667 -6608.27 1067.11
1150000 -130.345 53.8 -7012.73 2894.6 -202.716 32.8 -6649.31 1075.91
1160000 -128.56 53.4 -6865.51 2851.8 -207.277 33.6 -6965.59 1129.07
1170000 -131.833 54.2 -7146.85 2938.2 -212.094 34 -7211.18 1156
1180000 -134.208 55.4 -7436.62 3069.8 -215.051 34 -7311.72 1156
1190000 -133.484 55 -7341.6 3025 -211.698 34 -7197.72 1156
1200000 -134.612 55.4 -7457.52 3069.4 -215.437 34.4 -7411.83 1183.47
1210000 -140.971 58 -8176.31 3364 -218.477 34.6667 -7573.86 1201.78
1220000 -143.92 59.6 -8578.72 3552.8 -216.998 34.6667 -7522.61 1201.78
1230000 -143.505 59.6 -8553.7 3552.4 -219.26 34.6667 -7601.02 1201.78
1240000 -143.197 59.6 -8535.32 3552.4 -217.449 34.6667 -7538.23 1201.78
1250000 -141.435 59 -8344.65 3481 -215.525 34.6667 -7471.54 1201.78
1260000 -138.478 57.8 -8005.28 3341.4 -216.892 34.6667 -7518.91 1201.78
1270000 -134.363 55.8 -7498.35 3114.2 -217.219 34.6667 -7530.26 1201.78
1280000 -136.124 55.6 -7569.98 3092 -217.134 34.6667 -7527.32 1201.78
1290000 -137.606 56.8 -7817.13 3226.8 -216.196 34.6667 -7494.8 1201.78
1300000 -139.963 59 -8259.98 3481.8 -220.182 35.0667 -7723.53 1229.96
1310000 -137.704 56.4 -7766.94 3181.2 -226.546 36 -8155.66 1296
1320000 -138.793 56.8 -7884.99 3226.8 -225.371 36 -8113.35 1296
1330000 -140.849 57.4 -8085.12 3295 -227.242 36 -8180.71 1296
1340000 -138.367 56.6 -7832.4 3203.8 -229.12 36.6667 -8401.06 1344.44
1350000 -138.05 56 -7730.78 3136 -230.776 36.8 -8492.98 1354.31
1360000 -138.182 56 -7738.17 3136 -234.648 37.3333 -8760.21 1393.78
1370000 -139.565 56.8 -7927.75 3226.8 -237.486 37.8667 -8992.87 1433.96
1380000 -133.897 55 -7364.83 3025.4 -237.624 38 -9029.73 1444
1390000 -130.759 53.2 -6958.89 2831.2 -243.139 38.4 -9337.01 1474.67
1400000 -127.076 52 -6607.97 2704 -237.679 38 -9031.8 1444
1410000 -126.043 51.6 -6506.63 2663.6 -234.081 37.7333 -8833.07 1423.91
1420000 -122.755 50 -6137.73 2500 -235 37.3333 -8773.33 1393.78
1430000 -123.213 50 -6160.64 2500 -233.633 37.3333 -8722.29 1393.78
1440000 -124.63 50.8 -6331.51 2580.8 -232.598 37.2 -8653.22 1383.91
1450000 -124.661 51 -6357.73 2601 -229.529 36.6667 -8416.05 1344.44
1460000 -121.773 50 -6090.01 2500.4 -231.369 36.6667 -8483.52 1344.44
1470000 -121.587 50.2 -6103.93 2520.2 -233.609 37.2 -8690.32 1383.91
1480000 -125.516 51 -6401.33 2601 -237.067 37.8667 -8977.01 1433.96
1490000 -129.894 52.6 -6834.12 2767.4 -234.142 38 -8897.39 1444
1500000 -131.245 53 -6955.99 2809 -239.276 38 -9092.5 1444
1510000 -132.171 53.4 -7058.55 2851.8 -239.754 38 -9110.67 1444
1520000 -132.349 54 -7146.87 2916 -239.359 38 -9095.63 1444
1530000 -135.054 55.2 -7457.33 3048 -239.169 38.5333 -9216.11 1484.89
1540000 -131.144 53 -6953.2 2810.2 -239.777 38.6667 -9271.37 1495.11
1550000 -129.725 53.4 -6927.98 2852.2 -240.414 38.2667 -9199.64 1464.44
1560000 -131.333 53.6 -7039.85 2873.2 -240.664 38.2667 -9209.56 1464.44
1570000 -132.171 53.8 -7111.29 2894.6 -239.947 38.6667 -9277.94 1495.11
1580000 -131.02 53.2 -6970.75 2830.4 -240.881 38.6667 -9314.07 1495.11
1590000 -131.21 53 -6954.16 2809 -240.832 38.6667 -9312.19 1495.11
1600000 -129.672 52.4 -6797 2746.8 -239.237 38.6667 -9250.5 1495.11
1610000 -125.883 51.2 -6445.72 2621.6 -237.663 38.8 -9221.38 1505.51
1620000 -125.826 51.4 -6467.86 2642.2 -242.775 39.3333 -9549.14 1547.11
1630000 -123.205 50.2 -6185.18 2520.2 -245.282 39.4667 -9681.31 1557.69
1640000 -123.66 50.6 -6258.26 2561 -250.233 40 -10009.3 1600
1650000 -124.552 50 -6229.94 2500.8 -251.698 40.4 -10169.4 1632.27
1660000 -122.92 49 -6023.09 2401 -257.86 41.0667 -10590.3 1686.58
1670000 -120.717 48.4 -5842.62 2342.8 -261.122 41.3333 -10793.1 1708.44
1680000 -121.79 49 -5967.72 2401 -262.479 41.3333 -10849.1 1708.44
1690000 -122.939 50.2 -6171.89 2520.2 -261.327 41.3333 -10801.5 1708.44
1700000 -126.028 52.4 -6605.32 2746.4 -260.339 41.3333 -10760.7 1708.44
1710000 -126.826 52.6 -6671.77 2767 -258.39 40.6667 -10507.8 1653.78
