# Time-averaged data for fix avg_out
# TimeStep v_n_ch4 v_n_co2 v_selectivity v_strain c_TempCO2
215000 19 14.6667 0.771889 8.07989e-17 318.932
220000 19.8 14.6667 0.741015 7.59424e-17 324.371
225000 19.2 14.6667 0.765028 9.95694e-17 316.81
230000 18 14.9333 0.829584 8.37747e-17 320.986
235000 17.8 15.3333 0.861825 -6.97414e-17 326.527
240000 17.4 15.8667 0.912366 -4.78338e-17 318.18
245000 15.6 16.1333 1.03493 -4.76081e-17 323.215
250000 15.2 16.6667 1.09715 -2.53946e-17 320.184
255000 14.6 16.6667 1.14278 1.21155e-16 318.014
260000 15.8 16.6667 1.05549 2.01364e-16 320.504
265000 16 16.6667 1.0416 -1.03119e-17 317.28
270000 16 16.6667 1.0416 -1.42717e-16 323.973
275000 16.2 16.6667 1.02935 6.95575e-17 319.144
280000 17.4 16.6667 0.95855 -5.86885e-17 322.285
285000 18.2 16.6667 0.916129 1.08561e-17 318.532
290000 19.8 16.6667 0.842063 4.01193e-17 323.842
295000 20.6 16.6667 0.809484 1.24652e-16 319.781
300000 20.2 16.6667 0.825356 -4.02222e-17 316.785
305000 20.6 16.6667 0.809484 -3.97588e-17 321.338
310000 21 16.6667 0.793613 3.40485e-18 314.181
315000 20 16.6667 0.833292 -7.36703e-17 317.948
320000 21.2 16.6667 0.78712 1.31614e-16 317.78
325000 21.2 16.6667 0.78712 5.43935e-17 319.019
330000 18.8 16.6667 0.887867 2.40462e-16 321.006
335000 18 16.6667 0.925874 1.42939e-17 315.808
340000 18 16.6667 0.925874 -2.56147e-17 329.633
345000 19 17.3333 0.912233 4.748e-17 321.317
350000 19 18.6667 0.982404 -1.45049e-16 321.534
355000 19.6 19.3333 0.986967 -6.80877e-17 322.1
360000 21.2 19.6 0.92518 1.12797e-16 321.826
365000 22 20.6667 0.939351 1.37115e-16 319.868
370000 22 20.6667 0.939351 -4.3071e-17 318.591
375000 22.4 20.6667 0.923015 8.35181e-17 321.374
380000 22.4 20.6667 0.923015 4.72119e-17 317.929
385000 21 21.0667 1.00313 6.43514e-17 323.513
390000 19.8 21.3333 1.07891 2.10144e-16 316.899
395000 17.4 21.3333 1.22694 1.46492e-17 317.091
400000 17.8 21.3333 1.19906 8.03274e-17 318.429
405000 19.6 21.3333 1.08907 8.42613e-17 326.539
410000 19.6 21.3333 1.08907 8.05171e-17 317.956
415000 19 21.3333 1.12275 -1.16275e-16 319.407
420000 19 21.3333 1.12275 -1.01521e-16 318.682
425000 20 21.3333 1.06661 6.1779e-17 315.982
430000 19.6 21.3333 1.08907 5.47931e-17 319.879
435000 20 21.3333 1.06661 -1.41818e-16 320.495
440000 19.2 21.6 1.12556 5.48065e-17 319.552
445000 19 22 1.15783 2.53959e-17 314.588
450000 19.4 22 1.13468 4.757e-17 316.779
455000 18.4 22 1.19643 -6.46335e-17 316.181
460000 18 22 1.22215 1.3465e-16 320.717
465000 19 22 1.15783 1.40883e-16 318.525
470000 19 22 1.15783 -7.25617e-17 319.468
475000 17.8 22.4 1.25919 -1.0927e-16 310.195
480000 16.6 22.6667 1.36658 1.56527e-16 321.294
485000 16 22.6667 1.41658 7.34536e-18 306.741
490000 16.8 22.6667 1.34992 6.52165e-17 314.108
495000 17.4 22.6667 1.30519 -2.38686e-16 321.392
500000 19 22.6667 1.19292 -7.19722e-17 315.852
505000 19 22.6667 1.19292 -1.81685e-17 317.83
510000 19.8 22.6667 1.14521 -2.51297e-17 323.781
