# Chunk-averaged data for fix density_out and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
12000000 30 3640
  1 -8.81367 89 0.95548
  2 -7.81367 137 1.19232
  3 -6.81367 114 1.15619
  4 -5.81367 125 1.15377
  5 -4.81367 121 1.1847
  6 -3.81367 137 1.35073
  7 -2.81367 128 1.35939
  8 -1.81367 116 1.09675
  9 -0.813671 119 1.08578
  10 0.186329 113 1.15637
  11 1.18633 108 1.07936
  12 2.18633 135 1.279
  13 3.18633 121 1.1886
  14 4.18633 130 1.17363
  15 5.18633 128 1.37553
  16 6.18633 133 1.05607
  17 7.18633 125 1.22936
  18 8.18633 123 1.10928
  19 9.18633 140 1.47971
  20 10.1863 135 1.404
  21 11.1863 107 1.0905
  22 12.1863 112 1.02864
  23 13.1863 131 1.23315
  24 14.1863 119 1.15881
  25 15.1863 119 1.23806
  26 16.1863 124 1.31601
  27 17.1863 130 1.29758
  28 18.1863 122 1.08202
  29 19.1863 121 1.20079
  30 20.1863 78 0.695358
12010000 30 3640
  1 -8.81367 76 0.718173
  2 -7.81367 137 1.39073
  3 -6.81367 119 1.14639
  4 -5.81367 122 1.12928
  5 -4.81367 134 1.30227
  6 -3.81367 137 1.28271
  7 -2.81367 122 1.25191
  8 -1.81367 136 1.3023
  9 -0.813671 109 1.02748
  10 0.186329 103 0.968554
  11 1.18633 122 1.25323
  12 2.18633 117 1.05325
  13 3.18633 131 1.26322
  14 4.18633 133 1.29362
  15 5.18633 127 1.23238
  16 6.18633 129 1.22878
  17 7.18633 115 0.991884
  18 8.18633 126 1.21526
  19 9.18633 142 1.25458
  20 10.1863 124 1.3231
  21 11.1863 126 1.24458
  22 12.1863 117 1.09006
  23 13.1863 125 1.3281
  24 14.1863 120 1.17476
  25 15.1863 124 1.21513
  26 16.1863 116 1.11571
  27 17.1863 126 1.35147
  28 18.1863 120 1.09494
  29 19.1863 130 1.13672
  30 20.1863 75 0.688591
12020000 30 3640
  1 -8.81367 106 1.10045
  2 -7.81367 139 1.3895
  3 -6.81367 124 1.24809
  4 -5.81367 125 1.14971
  5 -4.81367 112 1.06896
  6 -3.81367 141 1.45497
  7 -2.81367 124 1.30487
  8 -1.81367 131 1.29854
  9 -0.813671 108 1.05146
  10 0.186329 112 1.0248
  11 1.18633 106 1.20024
  12 2.18633 129 1.12463
  13 3.18633 128 1.29478
  14 4.18633 122 1.2658
  15 5.18633 129 1.23052
  16 6.18633 114 1.02356
  17 7.18633 128 1.21663
  18 8.18633 117 1.16994
  19 9.18633 136 1.33644
  20 10.1863 123 1.23555
  21 11.1863 119 1.2771
  22 12.1863 118 1.2078
  23 13.1863 113 1.04119
  24 14.1863 124 1.32386
  25 15.1863 129 1.22046
  26 16.1863 114 1.2505
  27 17.1863 116 1.17626
  28 18.1863 129 1.36167
  29 19.1863 115 0.979501
  30 20.1863 109 1.02862
12030000 30 3640
