# Time-averaged data for fix data_out
# TimeStep c_thermo_temp c_thermo_press v_density v_vol
12000000 311.042 -886.006 1.20738 39340.8
12002000 309.25 455.785 1.18984 39920.8
12004000 319.476 140.028 1.21078 39230.5
12006000 320.571 -1712.46 1.19861 39628.6
12008000 315.672 1708.67 1.20103 39548.7
12010000 316.465 -517.775 1.19768 39659.4
12012000 322.035 -1212.02 1.19255 39829.9
12014000 313.589 -929.857 1.2021 39513.7
12016000 314.479 -383.059 1.19828 39639.5
12018000 306.56 333.912 1.1989 39619
12020000 313.284 2827.43 1.20978 39262.7
12022000 312.549 1421.21 1.19803 39647.9
12024000 317.563 -2591.32 1.21117 39217.6
12026000 316.395 -581.586 1.19855 39630.7
12028000 312.453 1663.8 1.21065 39234.4
12030000 313.742 91.3111 1.19912 39611.8
12032000 315.793 833.728 1.19653 39697.5
12034000 313.148 -1286.65 1.1983 39639
12036000 309.792 -878.163 1.18925 39940.6
12038000 311.265 294.587 1.20005 39581
12040000 316.826 479.199 1.2028 39490.7
12042000 303.887 -1594.56 1.20253 39499.7
12044000 314.962 -189.314 1.20061 39562.5
12046000 314.217 -2884.77 1.20638 39373.3
12048000 314.722 -884.372 1.1977 39658.7
12050000 320.191 -1455.92 1.19003 39914.3
12052000 304.535 -368.036 1.20248 39501.2
12054000 315.79 -920.381 1.18603 40049
12056000 304.563 -1039.48 1.19379 39788.8
12058000 322.42 -89.8193 1.19352 39797.8
12060000 314.637 -18.6323 1.2063 39376
12062000 312.292 1247.08 1.20607 39383.6
12064000 310.043 -1352.72 1.20091 39552.8
12066000 311.55 -27.6532 1.18826 39973.9
12068000 313.446 984.503 1.19527 39739.5
12070000 308.69 551.881 1.19113 39877.7
12072000 311.469 986.714 1.19786 39653.6
12074000 303.959 259.842 1.21349 39142.7
12076000 313.946 -604.514 1.19789 39652.6
12078000 308.406 -808.379 1.20082 39555.6
12080000 309.569 -1182.19 1.19569 39725.5
12082000 304.027 -864.723 1.21019 39249.4
12084000 317.587 -563.301 1.20308 39481.5
12086000 317.13 22.3494 1.19658 39695.8
12088000 317.092 -544.616 1.20353 39466.6
12090000 319.109 550.601 1.2083 39310.8
12092000 310.36 433.221 1.20195 39518.7
12094000 302.975 -0.819844 1.19765 39660.5
12096000 308.687 -674.807 1.19081 39888.2
12098000 309.031 -455.207 1.19807 39646.5
12100000 315.716 -296.163 1.19926 39607.3
12102000 318.484 430.486 1.20556 39400.1
12104000 320.553 3248.57 1.21508 39091.6
12106000 311.803 1564.44 1.19883 39621.6
12108000 306.148 -229.393 1.2073 39343.4
12110000 312.24 1139.92 1.21101 39222.9
12112000 311.823 -1030.51 1.20778 39327.7
12114000 313.1 -2204.86 1.20864 39300
12116000 315.77 1857.45 1.20895 39289.7
12118000 313.314 -307.219 1.20957 39269.6
12120000 302.164 628.288 1.20903 39287.2
12122000 312.998 -308.608 1.2112 39216.8
12124000 317.55 -809.287 1.19434 39770.5
12126000 311.665 647.344 1.19676 39690.1
12128000 320.987 1646.88 1.20671 39362.7
12130000 312.182 -495.202 1.21444 39112.3
12132000 309.606 -631.448 1.20861 39300.8
12134000 312.568 -1649.94 1.2044 39438.3
12136000 316.752 -1732 1.21367 39136.8
12138000 308.471 -2310.53 1.20036 39571.1
12140000 311.363 996.36 1.20543 39404.3
12142000 310.647 -81.9806 1.20304 39482.6
12144000 307.297 -858.06 1.20919 39281.8
12146000 312.563 -359.722 1.20482 39424.6
12148000 306.287 -1143.69 1.20553 39401.1
12150000 312.977 -2263.36 1.19691 39684.8
12152000 312.72 -1259.27 1.20035 39571.1
12154000 310.809 -111.922 1.19794 39650.9
12156000 312.737 -1082.74 1.19445 39766.7
12158000 312.485 -1878.27 1.20829 39311.1
12160000 321.402 713.838 1.20726 39344.9
12162000 305.833 -1078.67 1.19579 39722.2
12164000 313.432 1041.4 1.20602 39385.1
12166000 308.971 -405.532 1.20167 39527.7
12168000 310.039 -564.162 1.20282 39489.9
12170000 314.313 -767.554 1.1993 39605.8
12172000 318.522 307.331 1.19608 39712.4
12174000 316.402 2773.58 1.20911 39284.6
12176000 301.741 -1241.84 1.19248 39832.3
12178000 310.599 -682.793 1.20171 39526.6
12180000 312.495 -2173.85 1.19618 39709.2
12182000 309.285 690.683 1.1997 39592.7
12184000 311.552 -788.971 1.19246 39833.1
12186000 303.134 -926.214 1.19499 39748.7
12188000 319.534 -870.612 1.20676 39360.9
12190000 322.67 2068.97 1.20494 39420.5
12192000 317.486 90.8664 1.202 39516.8
12194000 310.81 -2110.05 1.2017 39526.6
12196000 314.234 2327.23 1.21059 39236.6
12198000 309.865 -1723.78 1.20483 39424
12200000 309.613 -754.865 1.20556 39400.4
12202000 315.263 12.3364 1.20252 39500
12204000 321.63 -782.528 1.21697 39030.9
12206000 313.171 1617.89 1.19893 39618.2
12208000 316.997 1882.91 1.20226 39508.2
12210000 311.636 305.294 1.1987 39625.8
12212000 319.34 -2547.67 1.20306 39482.2
12214000 311.805 470.62 1.20857 39302.2
12216000 314.986 -988.35 1.20058 39563.6
12218000 311.083 -1038.3 1.19692 39684.6
12220000 316.814 -440.844 1.19748 39666.2
12222000 308.629 2203.87 1.19941 39602.2
12224000 316.001 -1030.98 1.19592 39717.9
12226000 314.884 890.731 1.20143 39535.6
12228000 315.101 748.844 1.20448 39435.5
12230000 317.276 1576.85 1.20518 39412.5
12232000 311.819 893.298 1.19531 39738.2
12234000 318.185 1102.13 1.20873 39296.9
12236000 313.189 1567.3 1.21886 38970.2
12238000 315.452 794.254 1.20374 39459.7
12240000 312.709 -2240 1.20558 39399.4
12242000 311.974 1513.01 1.21014 39251.1
12244000 313.671 -2009.3 1.21782 39003.4
12246000 321.379 -562.507 1.20399 39451.6
12248000 308.073 -624.37 1.20748 39337.6
12250000 312.672 -140.001 1.19851 39632
12252000 325.35 728.075 1.20318 39478.1
12254000 314.345 -86.437 1.20296 39485.3
12256000 307.282 1086.04 1.20466 39429.8
12258000 308.132 223.85 1.19692 39684.7
12260000 310.622 969.184 1.19954 39598
12262000 307.243 -2831.02 1.19904 39614.4
12264000 311.704 305.754 1.20325 39476
12266000 318.464 781.028 1.19634 39703.9
12268000 313.663 -524.204 1.19652 39698
12270000 308.474 -10.7258 1.20749 39337.3
12272000 310.338 742.012 1.19857 39630
12274000 309.347 1521.74 1.19752 39664.6
12276000 319.462 684.334 1.20235 39505.4
12278000 305.765 -2498.83 1.19589 39718.7
12280000 308.037 -314.501 1.20637 39373.9
12282000 316.034 2229.43 1.20717 39347.8
12284000 309.54 -809.67 1.19667 39693.1
12286000 317.135 -1522.34 1.20704 39351.9
12288000 309.722 451.15 1.20056 39564.5
12290000 317.301 769.25 1.20206 39514.8
12292000 310.096 -1266.68 1.20503 39417.7
12294000 315.661 91.1463 1.20373 39460.2
12296000 308.36 -448.227 1.20331 39473.8
12298000 317.658 -31.5314 1.20857 39302.1
12300000 309.281 -1454.82 1.18932 39938.1
12302000 314.613 122.06 1.19603 39714
12304000 315.186 591.772 1.20751 39336.7
12306000 306.186 -2783.29 1.20812 39316.6
12308000 316.784 3789.28 1.21437 39114.4
12310000 314.659 826.024 1.19919 39609.4
12312000 315.207 1280.05 1.18814 39977.8
12314000 310.886 1371.42 1.20064 39561.7
12316000 308.683 76.0302 1.19918 39609.9
12318000 310.913 -395.783 1.19978 39590.1
12320000 325.712 -885.674 1.20229 39507.4
12322000 309.131 183.617 1.20093 39552.2
12324000 313.263 -398.67 1.20364 39463.1
12326000 318.348 1945.62 1.20297 39485.1
12328000 312.066 -344.221 1.2041 39448.1
12330000 322.971 961.695 1.19346 39799.8
12332000 313.912 -887.352 1.19802 39648.4
12334000 316.406 1078.66 1.20412 39447.3
12336000 306.242 -129.865 1.20128 39540.5
12338000 311.15 -2642.3 1.18991 39918.5
12340000 316.944 -4217.91 1.20045 39567.8
12342000 315.533 -514.265 1.19635 39703.6
12344000 310.357 152.69 1.19829 39639.2
12346000 316.995 618.74 1.20011 39579.3
12348000 315.965 -389.165 1.20354 39466.4
12350000 316.899 -272.321 1.19922 39608.5
12352000 309.797 -507.983 1.20036 39571
12354000 317.02 -610.349 1.20338 39471.6
12356000 306.571 -1939.53 1.20942 39274.4
12358000 311.188 1657.72 1.20334 39472.8
12360000 306.328 -806.314 1.19854 39631.1
12362000 312.325 -2977.99 1.21282 39164.3
12364000 312.84 -72.1194 1.20123 39542.4
12366000 319.624 -1098.03 1.21783 39003.1
12368000 313.089 2414.32 1.2017 39526.9
12370000 310.919 -770.587 1.20117 39544.1
12372000 310.422 3593.17 1.20938 39275.8
12374000 311.839 -1163.66 1.20176 39524.8
12376000 309.834 -555.833 1.20532 39408
12378000 314.311 1082.06 1.20213 39512.6
12380000 316.146 -1936.54 1.19521 39741.4
12382000 310.995 -1231.26 1.19761 39661.8
12384000 307.89 -226.357 1.21118 39217.5
12386000 318.609 129.075 1.20387 39455.7
12388000 304.436 994.087 1.2 39582.8
12390000 315.56 -201.579 1.1991 39612.4
12392000 312.368 998.3 1.20253 39499.6
12394000 314.637 -254.146 1.19726 39673.4
12396000 301.75 1012.97 1.20006 39580.9
12398000 320.959 -2263.18 1.2106 39236.1
12400000 311.364 1330.32 1.2089 39291.3
12402000 311.999 -493.431 1.19762 39661.3
12404000 311.156 -1732.77 1.20924 39280.5
12406000 312.912 844.376 1.20795 39322.4
12408000 314.33 967.138 1.21167 39201.6
12410000 315.887 -251.811 1.20275 39492.4
12412000 310.666 -1060.31 1.20379 39458.1
12414000 316.984 1032.67 1.19813 39644.5
12416000 316.528 897.957 1.19858 39629.7
12418000 317.516 214.245 1.20141 39536.3
12420000 314.085 569.838 1.19858 39629.8
12422000 310.453 1432.49 1.19958 39596.7
12424000 307.104 1001.56 1.20477 39426
12426000 315.442 473.661 1.20694 39355.2
12428000 304.662 74.5773 1.20813 39316.5
12430000 306.776 -613.039 1.20409 39448.3
12432000 311.551 1156.97 1.21026 39247.2
12434000 311.122 771.048 1.19987 39587
12436000 315.374 872.752 1.20724 39345.5
12438000 308.156 -823.19 1.19764 39660.8
12440000 318.815 -425.823 1.20067 39560.8
12442000 318.395 259.862 1.20427 39442.5
12444000 306.142 -976.221 1.20896 39289.4
12446000 315.945 477.789 1.20561 39398.6
12448000 314.882 2259.99 1.20364 39463.1
12450000 309.352 -544.414 1.19829 39639.3
12452000 318.47 2171.47 1.20353 39466.7
12454000 314.419 1318.91 1.2046 39431.5
12456000 315.54 707.005 1.21462 39106.4
12458000 315.751 -1523.17 1.21517 39088.5
12460000 311.594 -1038.71 1.21161 39203.4
12462000 308.656 2132.13 1.20411 39447.8
12464000 313.245 210.484 1.20294 39485.9
12466000 313.268 -2116.49 1.18819 39976.2
12468000 310.686 -1679.14 1.2024 39503.7
12470000 311.498 -454.769 1.20369 39461.6
12472000 318.343 1508.6 1.20817 39315.1
12474000 313.754 259.003 1.20524 39410.6
12476000 314.303 498.191 1.19888 39619.7
12478000 314.453 1319.19 1.21163 39202.8
12480000 317.418 -621.972 1.20197 39517.8
12482000 312.319 -927.635 1.2117 39200.6
12484000 314.094 -365.262 1.19521 39741.5
12486000 315.857 -437.259 1.20736 39341.5
12488000 316.004 453.851 1.20814 39316
12490000 305.716 -878.951 1.20826 39312
12492000 313.311 1740.17 1.20711 39349.7
12494000 313.559 241.155 1.20039 39569.8
12496000 316.699 107.038 1.20663 39365.3
12498000 308.954 -792.953 1.20684 39358.3
12500000 314.94 -1276.82 1.21036 39243.9
12502000 314.343 -55.7332 1.19847 39633.4
12504000 310.905 1113.65 1.20776 39328.6
12506000 324.526 -199.855 1.20187 39521.2
12508000 310.746 -802.976 1.20208 39514.2
12510000 325.068 39.3004 1.21535 39083
12512000 311.101 1269.14 1.20205 39515.2
12514000 317.997 -114.806 1.20214 39512.2
12516000 306.79 -2122.72 1.20809 39317.7
12518000 319.782 -654.759 1.20113 39545.4
12520000 304.504 985.921 1.21093 39225.5
12522000 309.733 -384.418 1.21331 39148.6
12524000 312.016 3.3879 1.20087 39554.1
12526000 316.814 31.8163 1.2186 38978.7
12528000 311.843 -396.853 1.20611 39382.2
12530000 305.74 -1384.37 1.2034 39470.9
12532000 305.629 -270.592 1.20546 39403.4
12534000 318.794 -1047.7 1.19194 39850.3
12536000 313.214 2680.66 1.19705 39680.2
12538000 312.52 1808.17 1.19277 39822.6
12540000 316.332 60.9406 1.19262 39827.6
12542000 320.908 834.866 1.19828 39639.7
12544000 319.436 934.647 1.20107 39547.6
12546000 317.644 1665.72 1.19932 39605.4
12548000 304.064 449.938 1.21056 39237.6
12550000 318.353 -189.149 1.20891 39291.1
12552000 308.089 1496.49 1.20433 39440.6
12554000 312.586 -651.646 1.19742 39668
12556000 313.683 -2363.01 1.19064 39894.1
12558000 310.045 -306.706 1.19666 39693.2
12560000 311.878 -1456.39 1.19464 39760.3
12562000 317.741 1300.72 1.19365 39793.3
12564000 313.282 -800.373 1.19993 39585
12566000 311.203 -416.431 1.20147 39534.5
12568000 321.739 179.668 1.19675 39690.2
12570000 310.193 -1216.94 1.20248 39501.2
12572000 309.974 -291.495 1.1942 39775
12574000 317.483 631.194 1.20227 39507.9
12576000 324.539 -116.139 1.20512 39414.5
12578000 311.561 -782.385 1.20487 39422.7
12580000 308.303 532.891 1.20446 39436.2
12582000 314.458 -136.954 1.21028 39246.6
12584000 313.723 856.916 1.20696 39354.4
12586000 310.926 -661.839 1.20388 39455.2
12588000 310.021 1428.56 1.20879 39295
12590000 315.179 -985.417 1.20016 39577.5
12592000 310.275 -97.1721 1.20434 39440.3
12594000 310.762 -121.034 1.20634 39374.8
12596000 314.564 998.333 1.21492 39096.6
12598000 309.204 278.145 1.22036 38922.5
12600000 309.26 -18.7057 1.20861 39300.7
12602000 310.294 832.241 1.20992 39258.2
12604000 313.748 -428.144 1.20506 39416.6
12606000 311.609 2304.8 1.2004 39569.5
12608000 312.393 1230.51 1.21823 38990.3
12610000 319.543 -1047.91 1.20551 39402
12612000 315.835 924.149 1.20701 39352.8
12614000 309.465 2823.74 1.20861 39300.7
12616000 303.417 303.749 1.21273 39167.3
12618000 305.756 -760.788 1.20904 39286.8
12620000 312.229 -1046.46 1.21346 39143.7
12622000 316.32 -965.358 1.20531 39408.4
12624000 307.132 929.826 1.20545 39403.7
12626000 315.69 1374.66 1.21834 38986.8
12628000 313.197 148.538 1.19849 39632.6
12630000 315.579 1236.88 1.20111 39546.2
12632000 307.639 -1523.26 1.20023 39575.2
12634000 312.374 -1708.46 1.20572 39395
12636000 301.113 -1090.28 1.20596 39387.1
12638000 312.087 2344.66 1.19875 39624.2
12640000 316.183 191.075 1.20514 39414
12642000 304.62 1453.75 1.20041 39569.4
12644000 314.814 -724.468 1.20958 39269.4
