# Chunk-averaged data for fix density_out and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
17000000 30 3640
  1 -8.81367 110 1.06224
  2 -7.81367 131 1.34738
  3 -6.81367 125 1.1941
  4 -5.81367 126 1.2128
  5 -4.81367 120 1.21901
  6 -3.81367 135 1.34229
  7 -2.81367 129 1.26882
  8 -1.81367 118 1.12562
  9 -0.813671 120 1.23518
  10 0.186329 108 0.960312
  11 1.18633 115 1.14323
  12 2.18633 121 1.11703
  13 3.18633 133 1.39705
  14 4.18633 122 1.18047
  15 5.18633 135 1.23667
  16 6.18633 112 1.10194
  17 7.18633 114 1.04979
  18 8.18633 126 1.13446
  19 9.18633 148 1.46326
  20 10.1863 122 1.25389
  21 11.1863 113 1.17906
  22 12.1863 114 1.15923
  23 13.1863 118 1.14694
  24 14.1863 128 1.28522
  25 15.1863 127 1.18669
  26 16.1863 124 1.33103
  27 17.1863 125 1.27883
  28 18.1863 114 1.14931
  29 19.1863 118 1.07346
  30 20.1863 89 0.740991
17010000 30 3640
  1 -8.81367 105 0.982484
  2 -7.81367 146 1.48851
  3 -6.81367 111 1.15174
  4 -5.81367 138 1.28252
  5 -4.81367 127 1.21718
  6 -3.81367 122 1.28744
  7 -2.81367 115 1.11668
  8 -1.81367 139 1.37791
  9 -0.813671 121 1.14183
  10 0.186329 101 1.05271
  11 1.18633 101 1.08662
  12 2.18633 138 1.18723
  13 3.18633 130 1.30886
  14 4.18633 128 1.30509
  15 5.18633 120 1.12935
  16 6.18633 129 1.1896
  17 7.18633 116 1.07653
  18 8.18633 123 1.17456
  19 9.18633 136 1.40313
  20 10.1863 133 1.35782
  21 11.1863 116 1.21078
  22 12.1863 118 1.22097
  23 13.1863 115 1.02885
  24 14.1863 113 1.18833
  25 15.1863 122 1.1871
  26 16.1863 127 1.32633
  27 17.1863 120 1.32522
  28 18.1863 120 1.15441
  29 19.1863 123 1.1105
  30 20.1863 87 0.817684
17020000 30 3640
  1 -8.81367 127 1.2349
  2 -7.81367 128 1.27248
  3 -6.81367 116 1.25845
  4 -5.81367 125 1.1944
  5 -4.81367 116 1.09724
  6 -3.81367 123 1.36572
  7 -2.81367 120 1.11999
  8 -1.81367 131 1.29653
  9 -0.813671 112 1.10975
  10 0.186329 115 1.09105
  11 1.18633 102 1.07344
  12 2.18633 138 1.28272
  13 3.18633 126 1.32548
  14 4.18633 125 1.22714
  15 5.18633 123 1.21204
  16 6.18633 133 1.19697
  17 7.18633 118 1.15271
  18 8.18633 118 1.08482
  19 9.18633 146 1.48938
  20 10.1863 128 1.26881
  21 11.1863 122 1.319
  22 12.1863 109 1.10618
  23 13.1863 127 1.26624
  24 14.1863 110 1.13503
  25 15.1863 125 1.18816
  26 16.1863 121 1.1968
  27 17.1863 112 1.3192
  28 18.1863 123 1.1679
  29 19.1863 114 0.997686
  30 20.1863 107 0.982469
17030000 30 3640
  1 -8.81367 93 0.984187
  2 -7.81367 138 1.31794
  3 -6.81367 114 1.10818
  4 -5.81367 127 1.20733
  5 -4.81367 130 1.3164
  6 -3.81367 127 1.21108
  7 -2.81367 126 1.21738
  8 -1.81367 125 1.27542
  9 -0.813671 112 1.05503
  10 0.186329 125 1.2149
  11 1.18633 111 1.11455
  12 2.18633 119 1.06372
  13 3.18633 113 1.18511
  14 4.18633 151 1.34252
  15 5.18633 139 1.43298
  16 6.18633 122 1.09841
  17 7.18633 115 1.05127
  18 8.18633 118 1.12565
  19 9.18633 144 1.36606
  20 10.1863 122 1.21371
  21 11.1863 110 1.18365
  22 12.1863 125 1.24334
  23 13.1863 116 1.14058
  24 14.1863 126 1.29172
  25 15.1863 125 1.13306
  26 16.1863 120 1.22465
  27 17.1863 128 1.4887
  28 18.1863 111 1.00294
  29 19.1863 117 1.04134
  30 20.1863 91 0.76494
17040000 30 3640
  1 -8.81367 107 1.07294
  2 -7.81367 136 1.32388
  3 -6.81367 114 1.11547
  4 -5.81367 134 1.32751
  5 -4.81367 124 1.15198
  6 -3.81367 128 1.34131
  7 -2.81367 127 1.23227
  8 -1.81367 127 1.24851
  9 -0.813671 131 1.29369
  10 0.186329 104 1.02918
  11 1.18633 117 1.15453
  12 2.18633 119 1.08176
  13 3.18633 130 1.35772
  14 4.18633 114 1.12561
  15 5.18633 145 1.39162
  16 6.18633 110 1.02897
  17 7.18633 114 0.99644
  18 8.18633 118 1.09674
  19 9.18633 138 1.42429
  20 10.1863 123 1.34383
  21 11.1863 118 1.18198
  22 12.1863 117 1.14439
  23 13.1863 117 1.14823
  24 14.1863 128 1.38918
  25 15.1863 133 1.31496
  26 16.1863 113 1.06663
  27 17.1863 132 1.43055
  28 18.1863 108 1.0904
  29 19.1863 117 1.0529
  30 20.1863 97 0.893479
17050000 30 3640
  1 -8.81367 104 0.969792
  2 -7.81367 142 1.45512
  3 -6.81367 116 1.10809
  4 -5.81367 133 1.27651
