# Time-averaged data for fix msd_out
# TimeStep c_msd_c[4]
17000000 1.1647
17005000 1.0244
17010000 0.868692
17015000 0.937852
17020000 0.999734
17025000 0.816948
17030000 0.620017
17035000 0.684601
17040000 0.73334
17045000 1.01735
17050000 0.986335
17055000 0.758485
17060000 0.868412
17065000 0.806827
17070000 0.851885
17075000 1.01033
17080000 1.02115
17085000 1.05605
17090000 0.946671
17095000 0.676339
17100000 0.945807
17105000 0.984841
17110000 0.752443
17115000 0.87069
17120000 0.925818
17125000 0.794376
17130000 0.876451
17135000 0.681375
17140000 1.28235
17145000 0.859718
17150000 0.882779
17155000 0.895232
17160000 0.995267
17165000 0.846073
17170000 0.817336
17175000 1.03929
17180000 0.793012
17185000 0.966838
17190000 1.0958
17195000 0.937486
17200000 0.982011
17205000 1.08706
17210000 0.973801
17215000 0.650284
17220000 0.760535
17225000 0.851653
17230000 0.81122
17235000 1.00631
17240000 1.01386
17245000 0.79154
17250000 0.751522
17255000 0.836466
17260000 0.841958
17265000 1.01824
17270000 0.746207
17275000 0.77729
17280000 0.769706
17285000 0.889839
17290000 0.681928
17295000 0.879686
17300000 0.783866
17305000 0.700465
17310000 0.803764
17315000 0.622622
17320000 0.963235
17325000 0.75467
17330000 1.09381
17335000 0.883071
17340000 0.801804
17345000 0.851586
17350000 0.960455
17355000 0.94037
17360000 0.904074
17365000 1.01047
17370000 0.795987
17375000 0.852207
17380000 0.858503
17385000 0.939089
17390000 1.04286
17395000 1.52378
17400000 0.828006
17405000 0.770514
17410000 1.23646
17415000 1.06172
17420000 1.06525
17425000 0.858365
17430000 0.910916
17435000 0.799071
17440000 0.889849
17445000 0.673633
17450000 0.710309
17455000 0.699024
17460000 0.745398
17465000 0.602669
17470000 0.713126
17475000 1.05474
17480000 0.716189
17485000 0.694985
17490000 0.596699
17495000 0.826483
17500000 0.752689
17505000 0.71574
17510000 0.628398
17515000 0.884414
17520000 0.757744
17525000 0.825088
17530000 1.12168
17535000 1.06183
17540000 0.784569
17545000 0.889794
17550000 0.863851
17555000 0.65899
17560000 1.10627
17565000 0.899938
17570000 0.948474
17575000 0.846544
17580000 0.826459
17585000 0.910575
17590000 0.778341
17595000 0.682913
17600000 0.797187
17605000 0.989868
17610000 0.987131
17615000 0.831
17620000 1.00803
17625000 0.92343
17630000 0.758467
17635000 0.868513
17640000 0.867971
17645000 0.709399
17650000 0.866218
17655000 0.919635
17660000 1.05972
17665000 0.824021
17670000 1.23666
17675000 0.757886
17680000 0.682912
17685000 0.88397
17690000 0.858556
17695000 0.85636
17700000 0.709001
17705000 0.634037
17710000 0.640844
17715000 0.562733
17720000 0.839638
17725000 0.846357
17730000 1.03497
17735000 0.786589
17740000 0.973703
17745000 0.654682
17750000 0.729491
17755000 0.881413
17760000 0.840015
17765000 0.830522
17770000 0.88615
17775000 0.964218
17780000 0.826862
17785000 1.00404
17790000 0.785469
17795000 0.838799
17800000 0.873291
17805000 0.811321
17810000 0.954692
17815000 0.815053
17820000 0.736878
17825000 0.855599
17830000 0.945399
17835000 0.944196
17840000 0.963527
17845000 0.942867
17850000 0.951731
17855000 0.790953
17860000 1.00458
17865000 0.850534
17870000 0.970775
17875000 0.781926
17880000 0.979757
17885000 1.08134
17890000 0.94736
17895000 0.953313
17900000 0.920505
17905000 0.844893
17910000 1.01071
17915000 0.742704
17920000 0.769877
17925000 0.809715
17930000 0.821896
17935000 0.921716
17940000 0.769043
17945000 0.772187
17950000 0.68468
17955000 1.05662
17960000 0.719387
17965000 0.692923
17970000 0.707556
17975000 1.17086
17980000 0.681041
17985000 1.07388
17990000 0.633407
17995000 1.37884
18000000 0.969644
18005000 0.730135
18010000 1.1092
18015000 0.801612
18020000 1.46709
18025000 0.733419
18030000 1.11379
18035000 0.844436
18040000 0.890361
18045000 0.890642
18050000 0.850072
18055000 1.06302
18060000 0.825628
18065000 0.93146
18070000 1.06055
18075000 0.8619
18080000 0.859924
18085000 0.780892
18090000 0.925097
18095000 0.977999
18100000 0.84394
18105000 1.01363
18110000 0.774098
18115000 0.857473
18120000 0.962053
18125000 0.966629
18130000 0.855841
18135000 0.861606
18140000 0.84517
18145000 0.762241
18150000 0.811634
18155000 0.753989
18160000 0.687914
18165000 0.777413
18170000 0.725803
18175000 0.890177
18180000 0.703724
18185000 1.07521
18190000 0.786595
18195000 0.830373
18200000 0.830742
18205000 0.968811
18210000 1.00729
18215000 1.28765
18220000 0.793824
18225000 0.789792
18230000 0.94752
18235000 0.890492
18240000 1.19405
18245000 1.00951
18250000 0.777066
18255000 0.897812
18260000 1.03999
18265000 0.896933
18270000 0.99594
18275000 0.935509
18280000 0.990492
18285000 0.933376
18290000 0.865116
18295000 0.716761
18300000 0.922681
18305000 0.961287
18310000 0.722405
18315000 0.767619
18320000 1.17049
18325000 0.732042
18330000 0.728158
18335000 0.997742
18340000 0.795773
18345000 0.797968
18350000 0.880005
18355000 1.00954
18360000 1.05333
18365000 0.964791
18370000 0.905318
18375000 0.741397
18380000 1.04664
18385000 0.812344
18390000 0.868394
18395000 0.800498
