# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_cc[1] c_rdf_cc[2] c_rdf_cc[3] c_rdf_cc[4] c_rdf_cc[5] c_rdf_cc[6] c_rdf_cc[7] c_rdf_cc[8] c_rdf_cc[9] c_rdf_cc[10] c_rdf_cc[11] c_rdf_cc[12] c_rdf_cc[13]
17000000 200
1 0.03 0 0 0 0 0 0 0 0 0 0 0 0
2 0.09 0 0 0 0 0 0 0 0 0 0 0 0
3 0.15 0 0 0 0 0 0 0 0 0 0 0 0
4 0.21 0 0 0 0 0 0 0 0 0 0 0 0
5 0.27 0 0 0 0 0 0 0 0 0 0 0 0
6 0.33 0 0 0 0 0 0 0 0 0 0 0 0
7 0.39 0 0 0 0 0 0 0 0 0 0 0 0
8 0.45 0 0 0 0 0 0 0 0 0 0 0 0
9 0.51 0 0 0 0 0 0 0 0 0 0 0 0
10 0.57 0 0 0 0 0 0 0 0 0 0 0 0
11 0.63 0 0 0 0 0 0 0 0 0 0 0 0
12 0.69 0 0 0 0 0 0 0 0 0 0 0 0
13 0.75 0 0 0 0 0 0 0 0 0 0 0 0
14 0.81 0 0 0 0 0 0 0 0 0 0 0 0
15 0.87 0 0 0 0 0 0 0 0 0 0 0 0
16 0.93 0 0 0 0 0 0 0 0 0 0 0 0
17 0.99 0 0 0 0 0 0 0 0 0 0 0 0
18 1.05 0 0 0 0 0 0 0 0 0 0 0 0
19 1.11 0 0 0 0 0 0 0 0 0 0 0 0
20 1.17 0 0 0 0 0 0 0 0 0 0 0 0
21 1.23 0 0 0 0 0 0 0 0 0 0 0 0
22 1.29 0 0 0 0 0 0 0 0 0 0 0 0
23 1.35 0 0 0 0 0 0 0 0 0 0 0 0
24 1.41 0 0 0 0 0 0 0 0 0 0 0 0
25 1.47 0 0 0 0 0 0 0 0 0 0 0 0
26 1.53 0 0 0 0 0 0 0 0 0 0 0 0
27 1.59 0 0 0 0 0 0 0 0 0 0 0 0
28 1.65 0 0 0 0 0 0 0 0 0 0 0 0
29 1.71 0 0 0 0 0 0 0 0 0 0 0 0
30 1.77 0 0 0 0 0 0 0 0 0 0 0 0
31 1.83 0 0 0 0 0 0 0 0 0 0 0 0
32 1.89 0 0 0 0 0 0 0 0 0 0 0 0
33 1.95 0 0 0 0 0 0 0 0 0 0 0 0
34 2.01 0 0 0 0 0 0 0 0 0 0 0 0
35 2.07 0 0 0 0 0 0 0 0 0 0 0 0
36 2.13 0 0 0 0 0 0 0 0 0 0 0 0
37 2.19 0 0 0 0 0 0 0 0 0 0 0 0
38 2.25 0 0 0 0 0 0 0 0 0 0 0 0
39 2.31 0 0 0 0 0 0 0 0 0 0 0 0
40 2.37 0 0 0 0 0 0 0 0 0 0 0 0
41 2.43 0 0 0 0 0 0 0 0 0 0 0 0
42 2.49 0 0 0 0 0 0 0 0 0 0 0 0
43 2.55 0 0 0 0 0 0 0 0 0 0 0 0
44 2.61 0 0 0 0 0 0 0 0 0 0 0 0
45 2.67 0 0 0 0 0 0 0 0 0 0 0 0
46 2.73 0 0 0 0 0 0 0 0 0 0 0 0
47 2.79 0 0 0 0 0 0 0 0 0 0 0.00751777 0.00149254
48 2.85 0 0 0 0 0 0 0 0 0 0 0 0.00149254
49 2.91 0 0 0 0 0 0 0 0 0 0 0.0138211 0.00447761
50 2.97 0 0 0 0 0 0 0 0 0 0 0.0199025 0.00895522
51 3.03 0 0 0 0 0 0 0 0 0 0 0.0446183 0.019403
52 3.09 0 0 0 0 0 0 0 0 0 0 0.0306446 0.0268657
53 3.15 0 0 0 0 0 0 0 0 0 0 0.0412836 0.0373134
54 3.21 0 0 0.151323 0.00769231 0 0 0 0 0 0 0.0795096 0.058209
55 3.27 0 0 0.145821 0.0153846 0 0 0 0 0 0 0.0766187 0.0791045
56 3.33 0 0 0.140613 0.0230769 0 0 0.956454 0.02 0 0 0.142488 0.119403
57 3.39 0 0 0 0.0230769 0 0 0 0.02 0 0 0.152765 0.164179
58 3.45 0 0 0.262004 0.0384615 0 0 0 0.02 0 0 0.132748 0.204478
59 3.51 0 0 0.379685 0.0615385 1.76452 0.0285714 0.860874 0.04 0 0 0.189998 0.264179
60 3.57 0 0 0 0.0615385 0 0.0285714 0 0.04 0 0 0.238765 0.341791
61 3.63 0 0 0.236665 0.0769231 0 0.0285714 0 0.04 0 0 0.297554 0.441791
62 3.69 0 0 0.343546 0.1 0 0.0285714 1.55787 0.08 0 0 0.352424 0.564179
63 3.75 0 0 0.887043 0.161538 1.5459 0.0571429 0 0.08 0 0 0.353721 0.691045
64 3.81 0 0 0.966741 0.230769 0 0.0571429 0 0.08 0 0 0.366857 0.826866
65 3.87 0 0 0.416443 0.261538 0 0.0571429 2.83266 0.16 0 0 0.461069 1.00299
66 3.93 0 0 0.706693 0.315385 0 0.0571429 1.37341 0.2 0 0 0.469832 1.18806
67 3.99 0 0 1.27326 0.415385 0 0.0571429 0.666209 0.22 0 0 0.551381 1.41194
