# Time-averaged data for fix data_out
# TimeStep c_thermo_temp c_thermo_press v_density v_vol
17000000 320.806 2514.45 1.19993 39585
17002000 314.081 -145.469 1.20739 39340.5
17004000 316.319 1241.89 1.20986 39260.1
17006000 304.077 -1713.76 1.21338 39146.2
17008000 307.618 441.846 1.20742 39339.6
17010000 313.83 -1571.39 1.21062 39235.6
17012000 304.805 -2406.92 1.20441 39437.9
17014000 315.348 1917.06 1.20161 39529.8
17016000 317.212 897.905 1.21295 39160.3
17018000 310.108 1113.31 1.20373 39460
17020000 310.022 692.615 1.20354 39466.4
17022000 314.653 883.863 1.21259 39171.7
17024000 320.194 2762.3 1.20737 39341.3
17026000 311.695 -1603.36 1.19571 39724.9
17028000 312.831 1110.81 1.19731 39671.6
17030000 315.801 59.8574 1.19997 39583.9
17032000 313.434 -1942.74 1.19978 39589.9
17034000 310.799 -571.362 1.20609 39382.9
17036000 311.59 -1303.09 1.20305 39482.5
17038000 313.399 -149.953 1.2012 39543.1
17040000 309.437 -808.227 1.20439 39438.6
17042000 312.55 650.977 1.20361 39464.2
17044000 314.845 575.756 1.20234 39505.7
17046000 315.976 2560.08 1.21017 39250.1
17048000 310.608 315.527 1.19753 39664.3
17050000 310.402 -730.551 1.21283 39163.9
17052000 314.084 658.286 1.20177 39524.5
17054000 320.094 -478.899 1.1972 39675.2
17056000 315.08 -1493.23 1.20376 39459.1
17058000 312.132 2060.32 1.20974 39264.2
17060000 313.721 -468.371 1.18965 39927
17062000 314.733 -836.477 1.20692 39355.8
17064000 312.135 -525.881 1.2049 39421.8
17066000 317.315 1860 1.21592 39064.4
17068000 306.168 -1781.97 1.19656 39696.5
17070000 316.563 239.137 1.19362 39794.2
17072000 312.449 113.948 1.1973 39672.1
17074000 315.856 1479 1.20439 39438.3
17076000 313.954 -1092.5 1.20325 39476
17078000 310.983 -533.66 1.20873 39296.9
17080000 314.844 1125.41 1.20175 39525
17082000 305.343 -1162.33 1.20376 39459.2
17084000 313.444 -723.408 1.19047 39899.5
17086000 304.761 -2636.38 1.19054 39897.4
17088000 314.134 -508.327 1.20786 39325.3
17090000 314.984 -3015.88 1.20347 39468.7
17092000 312.893 -896.083 1.20024 39574.8
17094000 318.449 -79.3027 1.19983 39588.5
17096000 319.024 132.035 1.20131 39539.6
17098000 310.117 1824.69 1.20875 39296.3
17100000 321.377 -2379.59 1.21641 39048.7
17102000 308.275 1196.57 1.20288 39487.9
17104000 307.759 1422.81 1.20043 39568.7
17106000 315.316 -14.6241 1.20514 39414
17108000 315.05 3084.96 1.2141 39123.1
17110000 308.975 -135.389 1.20897 39289
17112000 311.174 1953.16 1.20446 39436.3
17114000 311.76 -1012.79 1.19493 39750.8
17116000 315.634 1840.34 1.19969 39592.9
17118000 308.622 -49.0904 1.20756 39334.9
17120000 317.086 1434.17 1.20772 39329.8
17122000 318.573 -562.071 1.20278 39491.4
17124000 312.512 -1157.16 1.19533 39737.4
17126000 321.06 1984.77 1.20644 39371.5
17128000 305.32 1911.34 1.20307 39481.9
17130000 311.498 2057.46 1.20863 39300
17132000 311.372 -2149.98 1.19604 39713.8
17134000 307.504 -1649.36 1.20101 39549.5
17136000 327.754 26.4625 1.20995 39257.4
17138000 312.463 -2280.17 1.20105 39548.1
17140000 304.433 425.984 1.2241 38803.4
17142000 311.951 542.436 1.19829 39639.2
17144000 321.291 -746.821 1.20943 39274.1
17146000 305.642 -326.289 1.20062 39562.4
17148000 306.251 300.689 1.21416 39121.3
17150000 311.978 -2406.36 1.19578 39722.5
17152000 316.61 14.5637 1.19891 39618.6
17154000 318.649 1431.95 1.213 39158.4
17156000 319.454 838.311 1.21235 39179.6
17158000 314.996 -475.851 1.2146 39107
17160000 308.543 -255.068 1.20673 39362
17162000 323.397 -81.9038 1.19853 39631.4
17164000 313.207 1644.67 1.20855 39302.8
17166000 321.27 223.836 1.20394 39453.2
17168000 314.871 -2025.92 1.19399 39782
17170000 318.878 636.196 1.19787 39653.1
17172000 308.003 -1020.13 1.20454 39433.6
17174000 319.763 -1154.11 1.20195 39518.7
17176000 316.373 899.949 1.20975 39263.6
17178000 312.552 -440.766 1.21726 39021.6
17180000 310.755 766.768 1.19961 39595.6
17182000 313.028 -1502.64 1.21368 39136.6
17184000 310.763 845.788 1.20632 39375.5
17186000 314.872 -1074.28 1.19382 39787.6
17188000 309.668 -1094.94 1.20409 39448.3
17190000 317.63 1304.31 1.20464 39430.2
17192000 315.976 -825.454 1.20214 39512.2
17194000 314.908 1395.13 1.20459 39432
17196000 309.009 -14.8101 1.1952 39741.6
17198000 318.283 -1915.32 1.19406 39779.8
17200000 317.214 1638.85 1.2028 39490.6
17202000 316.264 1237.53 1.20992 39258.3
17204000 314.033 -210.212 1.19948 39600.1
17206000 318.363 -1074.11 1.20392 39454
17208000 315.326 3517.48 1.20927 39279.5
17210000 313.711 -17.2109 1.21221 39184
17212000 311.205 586.626 1.2008 39556.3
17214000 314.159 -834.428 1.2061 39382.5
17216000 312.831 1120.5 1.20485 39423.4
17218000 312.761 -1190.44 1.20139 39537
17220000 319.051 2303.24 1.20639 39373.3
17222000 311.998 -615.91 1.21673 39038.6
17224000 313.734 2006.73 1.19972 39592
17226000 305.217 -484.939 1.20645 39371.2
17228000 315.565 -22.6262 1.20984 39260.9
17230000 311.668 50.591 1.19783 39654.4
17232000 314.975 2524.9 1.20403 39450.3
17234000 312.769 1147.52 1.20325 39475.9
17236000 325.119 -495.409 1.21516 39089
17238000 312.602 -836.42 1.2004 39569.5
17240000 305.544 379.606 1.20827 39312
17242000 310.143 -2883.6 1.20578 39393.2
17244000 321.559 1018.68 1.20168 39527.5
