# Time-averaged data for fix data_output
# TimeStep c_thermo_temp c_thermo_press v_density
0 307.228 -693.768 1.2057
1000 306.764 992.155 1.2045
2000 307.756 -444.354 1.19646
3000 308.721 -55.9386 1.20782
4000 314.159 -1409.98 1.19693
5000 309.874 378.418 1.21553
6000 310.759 -1086.65 1.20718
7000 304.662 -1501.13 1.19718
8000 314.626 -1477.56 1.20379
9000 319.748 947.883 1.20743
10000 308.417 510.245 1.20176
11000 313.736 412.482 1.20883
12000 309.705 -74.3419 1.2086
13000 308.962 -836.9 1.20677
14000 317.534 449.853 1.19696
15000 314.369 -1157.3 1.2139
16000 315.422 -1020.95 1.20784
17000 314.631 -2978.6 1.19527
18000 314.595 -1173.79 1.21185
19000 307.429 2507.26 1.20565
20000 313.337 190.634 1.21379
21000 309.227 -1733.77 1.20543
22000 308.578 -1936.33 1.21021
23000 313.287 736.73 1.19652
24000 314.149 -345.062 1.21648
25000 309.634 347.789 1.20114
26000 311.941 360.681 1.21895
27000 307.349 -451.178 1.20916
28000 313.58 1408.59 1.19634
29000 315.927 240.477 1.20918
30000 310.541 743.777 1.2058
31000 311.768 2020.53 1.20185
32000 314.94 1559.27 1.20991
33000 316.352 707.846 1.20913
34000 310.539 -48.9797 1.20021
35000 308.399 806.98 1.20332
36000 309.661 -2171.22 1.19979
37000 312.813 102.224 1.19844
38000 314.715 1757.99 1.21826
39000 316.376 1451.85 1.20221
40000 313.412 470.453 1.21442
41000 314.329 -217.944 1.20112
42000 315.171 464.321 1.20549
43000 310.814 -412.19 1.21178
44000 320.209 2617.31 1.20452
45000 318.862 1055.03 1.2137
46000 311.672 -2807.87 1.20123
47000 309.334 1470.54 1.20802
48000 321.192 1740.54 1.20432
49000 319.198 1554.59 1.19882
50000 316.598 367.113 1.21281
51000 309.009 -2487.47 1.20807
52000 311.751 1079.38 1.20562
53000 317.886 462.555 1.21255
54000 305.071 506.304 1.21117
55000 314.536 -130.582 1.21149
56000 310.981 -2216.56 1.20055
57000 313.206 -2068.5 1.21725
58000 314.133 579.829 1.19886
59000 312.837 602.268 1.20958
60000 318.697 1128.67 1.21677
61000 318.991 -64.8953 1.20154
62000 309.684 -1146.88 1.21674
63000 310.698 612.045 1.1972
64000 311.721 1136.69 1.21414
65000 315.743 195.128 1.20522
66000 314.645 315.925 1.21906
67000 314.096 -720.083 1.20642
68000 314.059 -512.223 1.21478
69000 309.425 -1873.41 1.20479
70000 325.833 2103.44 1.21615
71000 311.494 -1095.96 1.21026
72000 311.857 502.458 1.20843
73000 311.474 42.5048 1.21335
74000 304.934 1289.96 1.19789
75000 310.547 1182.83 1.22253
76000 314.85 -896.272 1.19645
77000 314.944 574.983 1.21435
78000 315.864 113.625 1.20915
79000 318.455 444.299 1.21104
80000 311.251 -337.912 1.21226
81000 314.93 -1398.56 1.20386
82000 312.978 -3377.37 1.20676
83000 309.076 -424.132 1.19533
84000 308.054 -748.801 1.20759
85000 309.47 -679.222 1.21674
86000 317.338 -60.7541 1.20386
87000 314.421 -768.101 1.20707
88000 317.265 2132.94 1.19807
89000 316.661 1979.82 1.2089
90000 311.222 -2626.12 1.19507
91000 315.222 1349.68 1.21844
92000 315.28 -1981.62 1.20636
