# Time-averaged data for fix data_output
# TimeStep c_thermo_temp c_thermo_press v_density v_vol
0 315.16 -975.482 1.18827 39973.6
1000 314.615 -1428.61 1.19494 39750.3
2000 324.325 1064.49 1.20097 39550.8
3000 313.298 318.409 1.19251 39831.5
4000 311.492 1107.33 1.2091 39284.8
5000 313.433 519.728 1.20026 39574.1
6000 307.535 1043.28 1.20688 39357
7000 310.695 774.893 1.20519 39412.3
8000 319.741 242.548 1.19893 39618.1
9000 312.69 1905.32 1.20394 39453.2
10000 309.779 -1282.71 1.20633 39375.1
11000 322.62 1272.89 1.19474 39757.2
12000 309.665 196.065 1.21171 39200.3
13000 315.812 -1719 1.20528 39409.4
14000 311.061 324.047 1.20657 39367.2
15000 312.614 1387.69 1.20835 39309.3
16000 307.562 719.116 1.21183 39196.5
17000 307.659 -761.362 1.1936 39794.9
18000 314.642 668.058 1.20864 39299.8
19000 313.98 -1166.14 1.20026 39574.2
20000 319.842 1000.47 1.21015 39250.9
21000 318.919 -525.966 1.19387 39786
22000 313.316 -714.541 1.20222 39509.6
23000 311.403 -5.47641 1.19959 39596.4
24000 313.524 1203.23 1.20195 39518.7
25000 307.608 1141.97 1.19443 39767.3
26000 314.41 1914.49 1.20969 39265.8
27000 307.725 -201.123 1.1975 39665.4
28000 318.617 -603.373 1.1991 39612.5
29000 315.583 1559.59 1.19599 39715.4
30000 310.07 1318.48 1.20721 39346.3
31000 314.932 -399.647 1.19796 39650.1
32000 311.741 -737.499 1.19768 39659.4
33000 301.47 -1504.59 1.20832 39310.1
34000 314.433 -2152.97 1.19487 39752.8
35000 319.596 1095.47 1.1986 39629.1
36000 313.849 31.768 1.2109 39226.4
37000 316.664 936.312 1.20196 39518.4
38000 312.729 1317.12 1.19837 39636.6
39000 310.861 1027 1.20716 39347.9
40000 314.268 -1030.3 1.20345 39469.4
41000 316.063 -2157.72 1.18823 39974.9
42000 311.154 1197.84 1.20662 39365.6
43000 309.958 -823.891 1.19682 39688.1
44000 311.051 790.454 1.19732 39671.5
45000 310.847 1206.54 1.20161 39529.6
46000 319.066 -604.978 1.20365 39462.7
47000 313.326 -556.421 1.19351 39798.1
48000 302.694 562.101 1.19391 39784.5
49000 308.371 2047.63 1.19995 39584.3
50000 308.288 795.206 1.20546 39403.5
51000 325.014 -237.738 1.19518 39742.3
52000 321.885 -310.313 1.20232 39506.5
53000 313.37 -1925.54 1.20127 39540.9
54000 308.389 -676.566 1.2046 39431.7
55000 310.917 -987.363 1.18856 39963.6
56000 315.925 1266.89 1.20806 39318.6
57000 318.173 255.948 1.21106 39221.4
58000 307.497 -385.036 1.20216 39511.7
59000 313.373 -1182.09 1.19774 39657.5
60000 311.979 -835.575 1.20545 39403.8
61000 311.942 1331.23 1.20011 39579.2
62000 312.451 466.77 1.20557 39399.8
63000 307.689 -1124.2 1.19359 39795.4
64000 310.961 740.187 1.20311 39480.5
65000 310.732 -1305.12 1.19584 39720.3
66000 307.453 -1056.43 1.20993 39258
67000 318.387 1354.45 1.20048 39567
68000 316.655 960.125 1.20472 39427.6
69000 312.586 1133.57 1.20332 39473.5
70000 309.179 430.082 1.20681 39359.5
71000 309.122 924.573 1.20349 39468
72000 312.17 455.801 1.20317 39478.6
73000 320.727 -60.7654 1.19891 39618.8
74000 316.213 2003.43 1.20205 39515.4
75000 314.65 205.821 1.20925 39279.9
76000 316.808 -33.7868 1.19377 39789.3
77000 317.454 -915.877 1.19412 39777.8
78000 306.997 467.326 1.2074 39340.1
79000 311.391 641.355 1.20099 39550.1
80000 313.988 -1387.02 1.2059 39389.1
81000 311.098 -2415.2 1.185 40084
82000 314.805 -999.856 1.20479 39425.3
83000 320.526 -1852.51 1.20601 39385.4
84000 310.822 156.402 1.19866 39627
85000 309.55 868.189 1.20082 39555.7
86000 310.035 -1094.8 1.20292 39486.8
87000 318.964 411.806 1.19319 39808.6
88000 316.175 308.575 1.22449 38791.1
89000 312.381 47.1005 1.19691 39684.9
90000 306.43 3051.16 1.20186 39521.6
91000 313.821 1159.98 1.20264 39495.7
92000 315.283 -1600.22 1.20086 39554.5
93000 314.621 -1292.53 1.1975 39665.5
94000 318.818 -106.497 1.20421 39444.4
95000 319.058 -2595.52 1.19685 39687.1
96000 310.826 -849.817 1.1964 39702
97000 304.086 809.065 1.18995 39917.1
98000 315.677 1409.29 1.20395 39452.9
99000 317.545 2262.35 1.20517 39413
100000 314.654 -321.333 1.18579 40057.1
101000 314.859 -362.465 1.20064 39561.5
102000 308.135 -1087.82 1.20028 39573.6
103000 311.805 -682.063 1.20155 39531.8
104000 317.932 -381.912 1.20738 39340.9
105000 319.856 1015.65 1.20286 39488.8
106000 308.826 206.87 1.19978 39590.2
107000 314.547 1398.96 1.19845 39634.1
108000 318.298 920.785 1.19449 39765.2
109000 318.379 -672.329 1.20231 39506.7
110000 314.514 -2556.18 1.19443 39767.3
111000 311.6 -132.429 1.19859 39629.4
112000 309.484 1070.11 1.1966 39695.3
113000 306.499 121.583 1.2033 39474.3
114000 318.045 634.979 1.20082 39555.8
115000 317.057 1668.7 1.20004 39581.4
116000 305.831 961.311 1.2022 39510.4
117000 305.662 -653.905 1.19496 39749.7
118000 320.698 2684.69 1.20326 39475.4
119000 311.018 218.211 1.19963 39594.9
120000 308.347 1294.29 1.19833 39637.8
121000 314.78 306.311 1.20606 39383.8
122000 315.843 -1470.14 1.19808 39646.3
123000 311.485 1161.43 1.20021 39575.9
124000 316.221 1352.14 1.20032 39572.2
125000 312.266 2140.66 1.20022 39575.4
126000 309.069 1283.74 1.19665 39693.8
127000 309.722 -398.778 1.19995 39584.5
128000 314.181 2495.1 1.2007 39559.6
129000 316.009 -821.889 1.20001 39582.6
130000 309.57 -1273.26 1.19366 39793
131000 318.347 177.024 1.19642 39701.1
132000 313.624 2112.58 1.2026 39497.2
133000 315.734 -953.337 1.19639 39702.3
134000 311.862 -569.788 1.20262 39496.6
135000 312.394 1663.21 1.19911 39612.2
136000 307.281 -2338.97 1.19424 39773.5
137000 315.208 1567.95 1.21434 39115.2
138000 318.606 -2211.68 1.19111 39878.2
139000 317.126 -528.669 1.20551 39402
140000 316.469 -61.183 1.2053 39408.6
141000 310.884 114.542 1.18855 39964.2
142000 309.482 1341.38 1.19978 39590
143000 312.995 -1420.63 1.19726 39673.3
144000 318.273 -600.174 1.1945 39764.9
145000 312.202 -36.9445 1.2019 39520.2
146000 320.261 560.572 1.19822 39641.6
147000 313.268 -159.081 1.20095 39551.6
148000 307.374 -464.524 1.20293 39486.5
149000 315.973 -2230.09 1.20317 39478.6
150000 325.673 995.267 1.208 39320.6
151000 309.166 1679.48 1.19686 39686.7
152000 303.304 -1000.13 1.20153 39532.2
153000 319.939 -1526.41 1.20286 39488.5
154000 310.884 -692.137 1.20054 39564.9
155000 311.625 62.7999 1.21089 39227
156000 307.062 2280.8 1.19795 39650.7
157000 310.651 1135.31 1.21039 39243.1
158000 310.765 852.954 1.20601 39385.4
159000 313.877 -927.817 1.20487 39422.7
160000 309.343 -140.345 1.20245 39502.2
161000 313.804 -337.125 1.19457 39762.6
162000 304.308 -979.071 1.20726 39344.7
163000 313.606 249.588 1.19923 39608.3
164000 318.095 -2422.72 1.20892 39290.8
165000 319.36 -641.043 1.20118 39543.8
166000 317.171 -547.416 1.19632 39704.5
167000 318.981 831.193 1.21627 39053.2
168000 312.211 -1678.7 1.19116 39876.5
169000 310.925 -51.9488 1.20927 39279.4
170000 311.245 -720.523 1.19952 39598.8
171000 316.049 1665.46 1.20313 39480
172000 314.271 -713.127 1.2117 39200.7
173000 311.073 -590.956 1.19909 39612.8
174000 307.393 -577.71 1.20755 39335.3
175000 306.482 -1248.81 1.1987 39625.6
176000 315.029 778.356 1.18915 39943.8
177000 318.839 -747.652 1.19673 39691.1
178000 312.463 682.962 1.20123 39542.3
179000 313.897 -1366.54 1.20279 39491
180000 320.343 1084.79 1.20306 39482
181000 317.753 2388.78 1.202 39517.1
182000 311.474 -983.991 1.2077 39330.6
183000 308.602 449.19 1.19534 39737.1
184000 313.971 -252.582 1.19583 39720.8
185000 315.707 1219.49 1.20262 39496.6
186000 310.755 1325.79 1.19235 39836.6
187000 316.656 2557.57 1.20292 39486.6
188000 318.123 923.101 1.21398 39127
189000 315.708 -1279.91 1.19175 39856.9
190000 310.158 2100.6 1.21331 39148.6
191000 315.903 -16.0113 1.20031 39572.6
192000 316.995 -1238.25 1.20459 39432.1
193000 315.873 1242.72 1.20169 39527
194000 309.456 1926.75 1.20618 39380.1
195000 309.79 1019.98 1.19237 39835.9
196000 314.779 -332.266 1.21045 39241
197000 317.168 -729.535 1.20352 39467.1
198000 319.245 2428.48 1.20273 39492.9
199000 312.171 -158.47 1.20063 39562
200000 309.577 1643.72 1.20897 39289.2
201000 315.684 899.624 1.20063 39562
202000 308.522 920.379 1.20887 39292.5
203000 318.321 2806.43 1.20815 39315.8
204000 317.063 -560.125 1.19578 39722.5
205000 311.577 1319.96 1.21001 39255.4
206000 313.835 574.082 1.20245 39502.3
207000 324.329 7.51595 1.20384 39456.6
208000 311.78 -1063.47 1.20325 39476
209000 307.973 -284.644 1.20563 39398
210000 306.183 -103.52 1.20431 39441.3
211000 310.67 1951.27 1.20401 39450.8
212000 312.507 626.718 1.2043 39441.5
213000 310.613 -1950.17 1.18813 39978.1
214000 314.252 917.731 1.20373 39460.3
215000 321.204 -363.47 1.1967 39692
216000 314.882 985.814 1.20876 39296
217000 314.619 2910.09 1.20438 39439
218000 313.134 -433.188 1.19263 39827.4
219000 317.62 1005.37 1.20463 39430.6
220000 312.864 1100.78 1.20474 39427
221000 312.977 -1193.83 1.20053 39565.2
222000 308.494 -966.042 1.19682 39688.1
223000 311.028 -708.183 1.20342 39470.3
224000 311.459 -895.331 1.19145 39866.8
225000 308.402 -150.819 1.20792 39323.1
226000 310.923 -940.607 1.20319 39477.9
227000 308.409 -1147.31 1.19596 39716.5
228000 308.713 900.25 1.19807 39646.5
229000 315.816 2600.27 1.2061 39382.7
230000 313.486 1285.7 1.19712 39677.9
231000 309.288 -473.985 1.22052 38917.3
232000 311.719 100.159 1.19209 39845.3
233000 312.039 -919.756 1.20794 39322.7
234000 320.678 227.368 1.21047 39240.6
235000 316.451 183.694 1.19528 39739.1
236000 320.396 -1284.42 1.19967 39593.5
237000 315.801 -735.213 1.20547 39403
238000 316.361 749.595 1.1981 39645.5
239000 316.569 1556.6 1.20203 39515.8
240000 307.003 -152.305 1.20993 39257.9
241000 316.462 253.633 1.20204 39515.6
242000 314.324 -300.498 1.21546 39079.1
243000 309.249 1052.63 1.20696 39354.6
244000 318.043 198.685 1.19262 39827.8
245000 320.221 49.874 1.21369 39136.2
246000 311.799 1342.28 1.20409 39448.3
247000 310.05 -665.878 1.21654 39044.8
248000 314.527 207.269 1.19439 39768.6
249000 310.132 -1.45662 1.21421 39119.4
250000 315.421 -997.919 1.20094 39551.8
251000 319.104 -1304.32 1.20234 39505.9
252000 316.406 -1374.02 1.20373 39460
253000 318.872 271.118 1.20608 39383.4
254000 309.802 653.248 1.20509 39415.5
255000 312.267 62.704 1.20527 39409.7
256000 310.659 -623.464 1.20193 39519.2
257000 312.283 -128.122 1.2109 39226.6
258000 308.298 1418.1 1.20244 39502.3
259000 305.201 1882.95 1.19422 39774.2
260000 309.173 730.932 1.21933 38955.4
261000 309.372 415.092 1.20102 39549.2
262000 314.755 1975.53 1.2107 39233.1
263000 321.092 392.187 1.20157 39531.2
264000 309.302 461.043 1.20302 39483.4
265000 313.248 -834.833 1.19861 39628.6
266000 318.83 534.999 1.20332 39473.7
267000 315.543 1232.8 1.20483 39424.2
268000 307.492 -2436.17 1.19337 39802.6
269000 308.612 -327.519 1.20317 39478.6
270000 314.344 680.567 1.20747 39338
271000 311.013 -441.695 1.19659 39695.5
272000 312.407 -361.547 1.20525 39410.4
273000 320.268 -972.262 1.18996 39916.8
274000 311.1 1213.86 1.2031 39480.7
275000 317.828 -718.798 1.19992 39585.4
276000 310.71 409.55 1.20288 39488.1
277000 313.227 1303.09 1.2064 39372.7
278000 316.338 -1587.2 1.19868 39626.3
279000 315.64 491.746 1.20801 39320.3
280000 319.337 1112.37 1.196 39715.1
281000 307.79 43.3969 1.20317 39478.5
282000 312.156 833.872 1.19709 39679
283000 310.768 1084.61 1.2049 39421.8
284000 321.792 535.603 1.19803 39648
285000 312.968 -1360.9 1.20011 39579.2
286000 305.244 -678.565 1.19366 39793.1
287000 314.109 -1332.99 1.20338 39471.7
288000 321.357 -41.2491 1.20588 39389.9
289000 313.081 1081.33 1.21551 39077.6
290000 309.381 592.716 1.19873 39624.6
291000 315.491 1437.64 1.20117 39544.1
292000 313.318 643.384 1.20021 39575.7
293000 317.265 -239.704 1.20848 39305
294000 319.5 -1174 1.19884 39621.2
295000 315.22 -1737.18 1.19898 39616.5
296000 313.139 -598.297 1.19269 39825.5
297000 312.641 -163.102 1.19813 39644.5
298000 307.554 163.69 1.21178 39197.9
299000 304.733 -2391.67 1.19017 39909.7
300000 319.278 893.978 1.20206 39515
301000 313.479 -298.432 1.20093 39552
302000 311.4 -8.18323 1.19635 39703.4
303000 320.106 183.507 1.20523 39410.9
304000 317.106 -3000.27 1.1919 39851.8
305000 309.427 240.627 1.20441 39438
306000 315.166 2014.67 1.19508 39745.7
