# Time-averaged data for fix msd_out
# TimeStep c_msd_c[4]
12000000 1.50195
12005000 1.62264
12010000 1.65555
12015000 1.47816
12020000 1.75589
12025000 1.99034
12030000 1.39755
12035000 1.54431
12040000 1.85786
12045000 1.34616
12050000 1.80274
12055000 2.01806
12060000 1.59386
12065000 2.23658
12070000 1.57976
12075000 1.87374
12080000 1.67261
12085000 1.87198
12090000 1.98372
12095000 1.60832
12100000 1.58455
12105000 1.79819
12110000 1.51056
12115000 1.50573
12120000 1.97035
12125000 1.69309
12130000 1.58416
12135000 1.99656
12140000 1.59819
12145000 1.81465
12150000 1.59318
12155000 1.72653
12160000 1.80897
12165000 1.87111
12170000 1.48183
12175000 1.50441
12180000 1.70418
12185000 1.72336
12190000 1.66165
12195000 1.63813
12200000 1.8603
12205000 1.76077
12210000 1.92246
12215000 1.577
12220000 1.67454
12225000 1.83361
12230000 1.64461
12235000 1.79737
12240000 1.68565
12245000 1.80552
12250000 1.47128
12255000 1.8592
12260000 1.79504
12265000 1.53386
12270000 1.80653
12275000 1.60938
12280000 1.71064
12285000 1.76988
12290000 1.91174
12295000 1.7551
12300000 1.62509
12305000 1.66393
12310000 1.95828
12315000 1.493
12320000 1.69559
12325000 1.61571
12330000 2.03388
12335000 1.83284
12340000 2.02061
12345000 1.56708
12350000 1.90808
12355000 2.06462
12360000 1.74233
12365000 1.92701
12370000 1.81529
12375000 1.72466
12380000 2.3071
12385000 2.41502
12390000 1.59873
12395000 1.86209
12400000 2.16589
12405000 1.72091
12410000 1.84419
12415000 1.74582
12420000 1.73023
12425000 1.99878
12430000 2.01979
12435000 1.6249
12440000 1.71092
12445000 1.76748
12450000 1.34335
12455000 1.80344
12460000 1.82753
12465000 1.47056
12470000 1.85834
12475000 1.63398
12480000 1.68772
12485000 1.44303
12490000 1.55637
12495000 1.56757
12500000 1.93545
12505000 1.55074
12510000 1.87181
12515000 1.61857
12520000 1.48588
12525000 1.8214
12530000 1.81602
12535000 1.53845
12540000 1.61793
12545000 1.48175
12550000 1.65655
12555000 1.68887
12560000 1.71481
12565000 1.58172
12570000 1.19982
12575000 1.47138
12580000 1.77161
12585000 1.69537
12590000 1.70556
12595000 1.46809
12600000 1.85177
12605000 1.49848
12610000 1.66009
12615000 1.59045
12620000 1.91433
12625000 1.51604
12630000 1.4221
12635000 1.55185
12640000 1.40944
12645000 2.15055
12650000 1.30174
12655000 1.90238
12660000 1.56544
12665000 1.64524
12670000 1.90766
12675000 1.88189
12680000 1.95606
12685000 1.51063
12690000 1.57182
12695000 1.49395
12700000 1.61921
12705000 2.04287
12710000 1.62799
12715000 1.43014
12720000 1.7665
12725000 1.84641
12730000 1.60895
12735000 1.65867
12740000 2.37596
12745000 2.42962
12750000 2.42646
12755000 2.36685
12760000 1.79972
12765000 1.75793
12770000 1.94146
12775000 2.18079
12780000 1.61436
12785000 1.87226
12790000 2.07716
12795000 1.74347
12800000 2.21486
12805000 1.64453
12810000 2.10873
12815000 1.83519
12820000 1.93707
12825000 1.57036
12830000 2.00431
12835000 1.84553
12840000 2.3174
12845000 2.11759
12850000 1.8686
12855000 2.06655
12860000 1.84741
12865000 1.86004
12870000 2.20466
12875000 1.80905
12880000 1.8873
12885000 2.14887
12890000 1.58702
12895000 2.23237
12900000 1.81942
12905000 1.57599
12910000 1.73338
12915000 1.51505
12920000 1.96856
12925000 2.03351
12930000 2.10114
12935000 2.025
12940000 1.87511
12945000 1.9078
12950000 2.25011
12955000 1.57034
12960000 1.68332
12965000 1.59367
12970000 1.88163
12975000 1.39211
12980000 1.69016
12985000 1.56972
12990000 1.95904
12995000 1.98719
13000000 1.90431
13005000 1.81444
13010000 1.95922
13015000 2.34768
13020000 2.04262
