# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_cc[1] c_rdf_cc[2] c_rdf_cc[3] c_rdf_cc[4] c_rdf_cc[5] c_rdf_cc[6] c_rdf_cc[7] c_rdf_cc[8] c_rdf_cc[9] c_rdf_cc[10] c_rdf_cc[11] c_rdf_cc[12] c_rdf_cc[13]
12000000 200
1 0.03 0 0 0 0 0 0 0 0 0 0 0 0
2 0.09 0 0 0 0 0 0 0 0 0 0 0 0
3 0.15 0 0 0 0 0 0 0 0 0 0 0 0
4 0.21 0 0 0 0 0 0 0 0 0 0 0 0
5 0.27 0 0 0 0 0 0 0 0 0 0 0 0
6 0.33 0 0 0 0 0 0 0 0 0 0 0 0
7 0.39 0 0 0 0 0 0 0 0 0 0 0 0
8 0.45 0 0 0 0 0 0 0 0 0 0 0 0
9 0.51 0 0 0 0 0 0 0 0 0 0 0 0
10 0.57 0 0 0 0 0 0 0 0 0 0 0 0
11 0.63 0 0 0 0 0 0 0 0 0 0 0 0
12 0.69 0 0 0 0 0 0 0 0 0 0 0 0
13 0.75 0 0 0 0 0 0 0 0 0 0 0 0
14 0.81 0 0 0 0 0 0 0 0 0 0 0 0
15 0.87 0 0 0 0 0 0 0 0 0 0 0 0
16 0.93 0 0 0 0 0 0 0 0 0 0 0 0
17 0.99 0 0 0 0 0 0 0 0 0 0 0 0
18 1.05 0 0 0 0 0 0 0 0 0 0 0 0
19 1.11 0 0 0 0 0 0 0 0 0 0 0 0
20 1.17 0 0 0 0 0 0 0 0 0 0 0 0
21 1.23 0 0 0 0 0 0 0 0 0 0 0 0
22 1.29 0 0 0 0 0 0 0 0 0 0 0 0
23 1.35 0 0 0 0 0 0 0 0 0 0 0 0
24 1.41 0 0 0 0 0 0 0 0 0 0 0 0
25 1.47 0 0 0 0 0 0 0 0 0 0 0 0
26 1.53 0 0 0 0 0 0 0 0 0 0 0 0
27 1.59 0 0 0 0 0 0 0 0 0 0 0 0
28 1.65 0 0 0 0 0 0 0 0 0 0 0 0
29 1.71 0 0 0 0 0 0 0 0 0 0 0 0
30 1.77 0 0 0 0 0 0 0 0 0 0 0 0
31 1.83 0 0 0 0 0 0 0 0 0 0 0 0
32 1.89 0 0 0 0 0 0 0 0 0 0 0 0
33 1.95 0 0 0 0 0 0 0 0 0 0 0 0
34 2.01 0 0 0 0 0 0 0 0 0 0 0 0
35 2.07 0 0 0 0 0 0 0 0 0 0 0 0
36 2.13 0 0 0 0 0 0 0 0 0 0 0 0
37 2.19 0 0 0 0 0 0 0 0 0 0 0 0
38 2.25 0 0 0 0 0 0 0 0 0 0 0 0
39 2.31 0 0 0 0 0 0 0 0 0 0 0 0
40 2.37 0 0 0 0 0 0 0 0 0 0 0 0
41 2.43 0 0 0 0 0 0 0 0 0 0 0 0
42 2.49 0 0 0 0 0 0 0 0 0 0 0 0
43 2.55 0 0 0 0 0 0 0 0 0 0 0 0
44 2.61 0 0 0 0 0 0 0 0 0 0 0 0
45 2.67 0 0 0 0 0 0 0 0 0 0 0 0
46 2.73 0 0 0 0 0 0 0 0 0 0 0 0
47 2.79 0 0 0 0 0 0 0 0 0 0 0 0
48 2.85 0 0 0 0 0 0 0 0 0 0 0.00716014 0.00149254
49 2.91 0 0 0 0 0 0 0 0 0 0 0 0.00149254
50 2.97 0 0 0 0 0 0 0 0 0 0 0.00659325 0.00298507
51 3.03 0 0 0 0 0 0 0 0 0 0 0.0570125 0.0164179
52 3.09 0 0 0 0 0 0 0 0 0 0 0.0365467 0.0253731
53 3.15 0 0 0 0 0 0 0 0 0 0 0.041029 0.0358209
54 3.21 0 0 0 0 0 0 0 0 0 0 0.0451538 0.0477612
55 3.27 0 0 0.434763 0.0230769 0 0 0 0 0 0 0.0652681 0.0656716
56 3.33 0 0 0 0.0230769 0 0 0 0 0 0 0.12063 0.1
57 3.39 0 0 0.269686 0.0384615 0 0 0.917205 0.02 0 0 0.136641 0.140299
58 3.45 0 0 0.260388 0.0538462 0 0 0.885581 0.04 0 0 0.185679 0.197015
59 3.51 0 0 0.125781 0.0615385 1.75364 0.0285714 0 0.04 0 0 0.269077 0.28209
60 3.57 0 0 0.607943 0.1 3.39038 0.0857143 0.827048 0.06 0 0 0.264672 0.368657
61 3.63 0 0 0.352807 0.123077 0 0.0857143 0.799934 0.08 0 0 0.229513 0.446269
62 3.69 0 0 0.227618 0.138462 0 0.0857143 0 0.08 0 0 0.256281 0.535821
63 3.75 0 0 0.550982 0.176923 0 0.0857143 0 0.08 0 0 0.397033 0.679104
64 3.81 0 0 0.427012 0.207692 0 0.0857143 1.45227 0.12 0 0 0.404659 0.829851
65 3.87 0 0 0.517343 0.246154 1.44256 0.114286 0 0.12 0 0 0.462108 1.00746
66 3.93 0 0 0.802668 0.307692 0 0.114286 3.41235 0.22 0 0 0.508355 1.20896
67 3.99 0 0 1.07073 0.392308 1.3571 0.142857 0 0.22 0 0 0.485875 1.40746
