# Time-averaged data for fix data_output
# TimeStep c_thermo_temp c_thermo_press v_density
0 489.647 812.529 1.12768
1000 488.192 1547.68 1.13769
2000 505.685 680.812 1.15139
3000 496.707 -84.1947 1.13103
4000 502.921 89.7489 1.13082
5000 493.202 2452.86 1.13821
6000 498.759 892.562 1.13237
7000 498.782 -985.602 1.14113
8000 504.347 -464.155 1.14247
9000 502.592 409.346 1.13795
10000 495.034 1310.63 1.14078
11000 496.055 -263.628 1.13901
12000 499.253 1602.71 1.14518
13000 498.44 196.165 1.14559
14000 500.213 -1152.38 1.13692
15000 500.28 -1844.79 1.14869
16000 504.858 1857.27 1.15044
17000 504.863 -2272.55 1.13294
18000 495.131 -467.098 1.14479
19000 490.3 1622.5 1.14869
20000 502.099 3216.85 1.15187
21000 503.982 -2272.55 1.14938
22000 489.266 -678.948 1.12986
23000 491.696 890.709 1.14351
24000 496.977 -1421.92 1.13758
25000 505.199 1684.74 1.14057
26000 499.351 -142.463 1.13598
27000 496.508 250.57 1.1564
28000 490.705 -1841.7 1.15756
29000 491.201 50.9618 1.14164
30000 491.316 -493.475 1.13876
31000 501.273 -729.472 1.14767
32000 500.59 -970.594 1.15005
33000 505.1 157.068 1.15217
34000 487.069 434.797 1.13978
35000 493.212 -2160.42 1.13446
36000 482.478 -752.178 1.1504
37000 505.795 -2314.97 1.15821
38000 492.327 1433.88 1.13357
39000 485.061 261.005 1.12079
40000 477.662 -355.188 1.13989
41000 483.089 1528.36 1.14642
42000 490.763 -1052.48 1.14913
43000 481.907 860.88 1.14597
44000 490.408 1017.34 1.14649
45000 505.401 817.106 1.15169
46000 498.867 731.879 1.14545
47000 483.515 1772.83 1.13274
48000 480.182 1312.9 1.14238
49000 489.327 2777.72 1.13471
50000 477.028 922.982 1.13236
51000 485.989 -640.13 1.13734
52000 501.117 -903.127 1.13915
53000 509.728 2059.07 1.13962
54000 495.329 2544.69 1.13204
55000 498.876 -462.336 1.14046
56000 490.001 -294.641 1.15096
57000 483.109 -819.434 1.1372
58000 492.216 -762.478 1.12302
59000 490.965 -355.096 1.12777
60000 480.535 -1793.71 1.14892
61000 471.239 1127.25 1.13804
62000 479.762 611.261 1.14383
63000 487.346 2389.35 1.16557
64000 484.21 -270.321 1.15292
65000 497.811 -1102.05 1.16048
66000 498.227 -1005.74 1.15394
67000 490.376 1019.89 1.14556
68000 484.154 836.217 1.15179
69000 491.089 -137.338 1.14464
70000 487.697 -812.929 1.147
71000 478.261 -1207.07 1.14886
72000 485.311 -2572.7 1.13887
73000 480.273 -731.957 1.16352
74000 478.729 772.297 1.14955
75000 488.554 -1420.31 1.13552
76000 483.285 -1239.65 1.13097
77000 486.595 1347.29 1.14926
78000 487.907 347.984 1.15228
79000 492.166 -1281.55 1.15188
80000 497.062 -402.044 1.14552
81000 479.045 2279 1.13303
82000 487.979 3967.53 1.13798
83000 475.844 -931.314 1.13856
84000 491.167 -574.646 1.14627
85000 494.146 -456.434 1.13989
86000 486.025 2708.1 1.14221
87000 482.745 -475.744 1.15117
88000 489.3 -2661.42 1.1366
89000 482.935 -330.211 1.14172
90000 496.275 -1503.46 1.12506
91000 494.799 680.677 1.13713
92000 489.411 2979.16 1.13311
93000 473.495 974.935 1.13576
94000 476.009 849.724 1.1451
95000 494.204 -447.7 1.1349
96000 484.634 -1414.9 1.13059
97000 472.052 -750.882 1.13536
98000 482.415 416.354 1.1214
99000 493.291 -2075.59 1.13142
100000 476.998 3113.72 1.14332
101000 471.363 506.887 1.1482
102000 488.994 1324.35 1.1434
103000 476.652 1238.77 1.14313
104000 474.08 694.593 1.15323
105000 470.632 -2111.16 1.15482
106000 477.192 -2514.93 1.14531
107000 476.93 -762.66 1.1258
108000 475.408 1271.55 1.14321
109000 476.507 483.095 1.14903
110000 485.381 -2916.49 1.13132
111000 465.093 346.449 1.1527
112000 472.702 -1024.33 1.14316
113000 473.118 508.313 1.13633
114000 476.261 1022.52 1.14607
115000 477.664 391.504 1.14771
116000 500.235 -2276.4 1.13893
117000 472.729 -783.477 1.13712
118000 477.669 -2425.86 1.14525
119000 487.751 159.3 1.14374
120000 474.718 607.132 1.14458
121000 463.569 975.215 1.12872
122000 473.357 -112.824 1.13459
123000 476.214 -537.576 1.14683
124000 480.298 193.283 1.14918
125000 456.805 -1359.57 1.10953
126000 474.554 -1726.19 1.11624
127000 481.108 -2579.95 1.1395
128000 469.01 -400.471 1.13464
129000 472.298 3319.69 1.13662
130000 472.026 -1688.17 1.13784
131000 472.175 221.241 1.13996
132000 467.719 -371.347 1.14227
133000 473.746 -1170.75 1.13843
134000 473.108 1005.48 1.12895
135000 475.315 988.413 1.14537
136000 464.569 -512.667 1.14658
137000 473.119 2422.51 1.14365
138000 480.287 3118.16 1.15095
139000 473.019 -1483.9 1.14839
140000 477.894 -1134.11 1.14207
141000 470.459 -2855.95 1.15111
142000 463.021 871.094 1.13209
143000 473.568 977.241 1.14013
144000 473.849 -2096.92 1.13987
145000 463.872 955.78 1.14144
146000 465.061 391.319 1.15068
